id;Descricao;Umidade(%);Energia(kcal);Energia(kJ);Proteina(g);Lipideos(g);Colesterol(mg);Carboidratos(g);Fibra_Alimentar(g);Cinzas(g);Calcio(mg);Magnesio(mg);;;;
323;Apresuntado;73,7;129;539;13,5;6,7;38;2,9;NA;3,3;23;15;;;;
324;Caldo de carne, tablete;2,9;241;1007;7,8;16,6;Tr;15,1;0,6;57,6;129;22;;;;
325;Caldo de galinha, tablete;3,4;251;1052;6,3;20,4;2;10,6;11,8;59,3;16;13;;;;
326;Carne, bovina, acém, moído, cozido;61,6;212;889;26,7;10,9;103;0,0;NA;0,8;4;17;;;;
327;Carne, bovina, acém, moído, cru;72,7;137;571;19,4;5,9;58;0,0;NA;0,9;3;14;;;;
328;Carne, bovina, acém, sem gordura, cozido;60,4;215;898;27,3;10,9;107;0,0;NA;0,8;7;14;;;;
329;Carne, bovina, acém, sem gordura, cru;71,5;144;603;20,8;6,1;53;0,0;NA;1,0;5;13;;;;
330;Carne, bovina, almôndegas, cruas;64,3;189;792;12,3;11,2;34;9,8;*;2,4;22;24;;;;
331;Carne, bovina, almôndegas, fritas;48,1;272;1137;18,2;15,8;36;14,3;*;3,7;27;48;;;;
332;Carne, bovina, bucho, cozido;74,1;133;557;21,6;4,5;245;0,0;NA;0,3;13;7;;;;
333;Carne, bovina, bucho, cru;75,0;137;574;20,5;5,5;145;0,0;NA;0,4;9;6;;;;
334;Carne, bovina, capa de contra-filé, com gordura, crua;64,8;217;908;19,2;15,0;63;0,0;NA;0,9;6;17;;;;
335;Carne, bovina, capa de contra-filé, com gordura, grelhada;47,9;312;1304;30,7;20,0;120;0,0;NA;1,1;7;18;;;;
336;Carne, bovina, capa de contra-filé, sem gordura, crua;73,0;131;548;21,5;4,3;58;0,0;NA;1,0;6;20;;;;
337;Carne, bovina, capa de contra-filé, sem gordura, grelhada;53,7;239;1002;35,1;10,0;80;0,0;NA;1,3;9;26;;;;
338;Carne, bovina, charque, cozido;45,8;263;1099;36,4;11,9;113;0,0;NA;3,6;15;13;;;;
339;Carne, bovina, charque, cru;44,5;249;1041;22,7;16,8;81;0,0;NA;14,5;15;13;;;;
340;Carne, bovina, contra-filé, à milanesa;42,2;352;1471;20,6;24,0;99;12,2;0,4;1,1;15;27;;;;
341;Carne, bovina, contra-filé de costela, cru;66,4;202;847;19,8;13,1;52;0,0;NA;1,0;3;14;;;;
342;Carne, bovina, contra-filé de costela, grelhado;52,2;275;1150;29,9;16,3;98;0,0;NA;1,2;4;24;;;;
343;Carne, bovina, contra-filé, com gordura, cru;65,7;206;861;21,2;12,8;73;0,0;NA;0,9;4;18;;;;
344;Carne, bovina, contra-filé, com gordura, grelhado;51,7;278;1163;32,4;15,5;144;0,0;NA;1,2;4;19;;;;
345;Carne, bovina, contra-filé, sem gordura, cru;69,1;157;655;24,0;6,0;59;0,0;NA;1,0;4;21;;;;
346;Carne, bovina, contra-filé, sem gordura, grelhado;57,5;194;810;35,9;4,5;102;0,0;NA;1,3;5;21;;;;
347;Carne, bovina, costela, assada;43,2;373;1561;28,8;27,7;95;0,0;NA;1,0;28;20;;;;
348;Carne, bovina, costela, crua;52,7;358;1497;16,7;31,8;44;0,0;NA;0,9;*;12;;;;
349;Carne, bovina, coxão duro, sem gordura, cozido;58,5;217;906;31,9;8,9;71;0,0;NA;0,9;4;14;;;;
350;Carne, bovina, coxão duro, sem gordura, cru;69,8;148;619;21,5;6,2;60;0,0;NA;1,1;3;21;;;;
351;Carne, bovina, coxão mole, sem gordura, cozido;58,0;219;915;32,4;8,9;84;0,0;NA;1,2;4;13;;;;
352;Carne, bovina, coxão mole, sem gordura, cru;68,6;169;707;21,2;8,7;84;0,0;NA;1,0;3;21;;;;
353;Carne, bovina, cupim, assado;48,4;330;1381;28,6;23,0;91;0,0;NA;1,0;8;18;;;;
354;Carne, bovina, cupim, cru;64,8;221;926;19,5;15,3;51;0,0;NA;0,9;4;13;;;;
355;Carne, bovina, fígado, cru;71,3;141;590;20,7;5,4;393;1,1;NA;1,5;4;12;;;;
356;Carne, bovina, fígado, grelhado;55,0;225;942;29,9;9,0;601;4,2;NA;2,0;6;10;;;;
357;Carne, bovina, filé mingnon, sem gordura, cru;71,9;143;598;21,6;5,6;55;0,0;NA;1,1;3;21;;;;
358;Carne, bovina, filé mingnon, sem gordura, grelhado;57,0;220;919;32,8;8,8;103;0,0;NA;1,3;4;28;;;;
359;Carne, bovina, flanco, sem gordura, cozido;62,0;196;818;29,4;7,8;62;0,0;NA;0,9;4;14;;;;
