id;Descricao;Umidade(%);Energia(kcal);Energia(kJ);Proteina(g);Lipideos(g);Colesterol(mg);Carboidratos(g);Fibra_Alimentar(g);Cinzas(g);Calcio(mg);Magnesio(mg)
273;Abadejo, filé, congelado, assado;74,3;112;467;23,5;1,2;103;0,0;NA;1,6;23;20
274;Abadejo, filé, congelado,cozido;79,7;91;381;19,3;0,9;87;0,0;NA;0,9;17;16
275;Abadejo, filé, congelado, cru;86,4;59;247;13,1;0,4;31;0,0;NA;0,6;10;14
276;Abadejo, filé, congelado, grelhado;71,0;130;542;27,6;1,3;136;0,0;NA;1,6;20;22
277;Atum, conserva em óleo;64,5;166;694;26,2;6,0;53;0,0;NA;1,5;7;29
278;Atum, fresco, cru;73,1;118;492;25,7;0,9;48;0,0;NA;1,3;7;32
279;Bacalhau, salgado, cru;47,9;136;569;29,0;1,3;139;0,0;NA;22,5;157;49
280;Bacalhau, salgado, refogado;65,9;140;584;24,0;3,6;112;1,2;*;5,3;59;15
281;Cação, posta, com farinha de trigo, frita;60,6;208;872;25,0;10,0;75;3,1;0,5;1,4;30;26
282;Cação, posta, cozida;75,9;116;485;25,6;0,7;83;0,0;NA;1,2;10;21
283;Cação, posta, crua;81,4;83;349;17,9;0,8;36;0,0;NA;1,2;9;19
284;Camarão, Rio Grande, grande, cozido;78,7;90;377;19,0;1,0;241;0,0;NA;1,7;90;19
285;Camarão, Rio Grande, grande, cru;89,1;47;197;10,0;0,5;124;0,0;NA;0,8;51;27
286;Camarão, Sete Barbas, sem cabeça, com casca, frito;61,0;231;968;18,4;15,6;283;2,9;NA;2,1;960;74
287;Caranguejo, cozido;77,0;83;346;18,5;0,4;85;0,0;NA;3,5;357;52
288;Corimba, cru;75,6;128;536;17,4;6,0;40;0,0;NA;1,0;40;23
289;Corimbatá, assado;59,9;261;1094;19,9;19,6;80;0,0;NA;1,0;22;24
290;Corimbatá, cozido;64,6;239;999;20,1;16,9;75;0,0;NA;0,8;65;23
291;Corvina de água doce, crua;79,2;101;423;18,9;2,2;73;0,0;NA;1,0;39;25
292;Corvina do mar, crua;79,4;94;392;18,6;1,6;67;0,0;NA;1,1;*;24
293;Corvina grande, assada;69,0;147;613;26,8;3,6;117;0,0;NA;1,3;60;24
294;Corvina grande, cozida;73,6;100;419;23,4;2,6;123;0,0;NA;0,9;69;22
295;Dourada de água doce, fresca;76,2;131;549;18,8;5,6;52;0,0;NA;1,1;12;26
296;Lambari, congelado, cru;71,9;131;547;16,8;6,5;159;0,0;NA;3,6;1181;45
297;Lambari, congelado, frito;40,1;327;1368;28,4;22,8;246;0,0;NA;6,2;1881;66
298;Lambari, fresco, cru;72,2;152;634;15,7;9,4;144;0,0;NA;2,2;590;32
299;Manjuba, com farinha de trigo, frita;41,3;344;1437;23,5;22,6;282;10,2;0,4;2,4;763;47
300;Manjuba, frita;40,7;349;1462;30,1;24,5;270;0,0;NA;4,2;575;32
301;Merluza, filé, assado;70,7;122;510;26,6;0,9;91;0,0;NA;1,2;36;20
302;Merluza, filé, cru;82,1;89;373;16,6;2,0;57;0,0;NA;1,1;20;27
303;Merluza, filé, frito;63,5;192;802;26,9;8,5;109;0,0;NA;1,5;36;38
304;Pescada, branca, crua;79,6;111;464;16,3;4,6;51;0,0;NA;0,9;16;19
305;Pescada, branca, frita;57,0;223;933;27,4;11,8;165;0,0;NA;3,2;378;30
306;Pescada, filé, com farinha de trigo, frito;53,2;283;1186;21,4;19,1;73;5,0;Tr;1,2;26;28
307;Pescada, filé, cru;79,5;107;449;16,7;4,0;65;0,0;NA;0,9;14;23
308;Pescada, filé, frito;66,8;154;645;28,6;3,6;81;0,0;NA;1,7;10;21
309;Pescada, filé, molho escabeche;74,5;142;594;11,8;8,0;43;5,0;0,8;0,7;20;18
310;Pescadinha, crua;80,6;76;320;15,5;1,1;84;0,0;NA;2,0;332;34
311;Pintado, assado;57,0;192;801;36,5;4,0;126;0,0;NA;2,0;114;42
312;Pintado, cru;80,3;91;381;18,6;1,3;50;0,0;NA;1,1;12;24
313;Pintado, grelhado;65,5;152;637;30,8;2,3;99;0,0;NA;1,6;69;27
314;Porquinho, cru;79,2;93;389;20,5;0,6;49;0,0;NA;1,3;26;24
315;Salmão, filé, com pele, fresco,  grelhado;60,9;229;957;23,9;14,0;85;0,0;NA;1,3;29;28
316;Salmão, sem pele, fresco, cru;69,0;170;710;19,3;9,7;53;0,0;NA;1,2;9;27
317;Salmão, sem pele, fresco, grelhado;58,1;243;1015;26,1;14,5;73;0,0;NA;1,6;15;38
318;Sardinha, assada;60,1;164;688;32,2;3,0;109;0,0;NA;4,4;438;51
319;Sardinha, conserva em óleo;55,1;285;1192;15,9;24,0;73;0,0;NA;2,9;550;35
320;Sardinha, frita;48,5;257;1075;33,4;12,7;103;0,0;NA;4,3;482;39
321;Sardinha, inteira, crua;76,6;114;477;21,1;2,7;61;0,0;NA;1,6;167;29
322;Tucunaré, filé, congelado, cru;79,9;88;367;18,0;1,2;47;0,0;NA;1,0;19;26
