id;Manganes(mg);Fosforo(mg);Ferro(mg);Sodio(mg);Potassio(mg);Cobre(mg);Zinco(mg);Retinol(mcg);RE(mcg);RAE (mcg);Tiamina(mg);Riboflavina(mg);Piridoxina(mg);Niacina(mg);Vitamina_C(mg)
525;0,59;142;1,9;305;354;0,23;1,2;Tr;;;0,06;Tr;Tr;Tr; 
526;0,18;48;1,0;1622;87;0,08;2,7;Tr;;;0,03;Tr;0,07;1,60; 
527;0,27;72;0,6;93;157;0,08;0,6;Tr;;;0,04;Tr;0,04;Tr;Tr
528;0,05;169;2,4;48;295;0,17;4,8;Tr;;;0,03;0,04;Tr;2,09;Tr
529;0,02;216;2,1;83;272;0,06;3,2;37;;;0,05;0,10;Tr;2,92;
530;0,42;87;2,1;59;96;0,13;0,9;Tr;;;0,08;0,05;Tr;Tr;Tr
531;0,11;244;1,4;85;139;0,07;0,5;Tr;;;Tr;Tr;Tr;0,31;4,1
532;0,22;68;0,9;12;184;1,45;1,8;Tr;;;0,03;Tr;Tr;0,32;4,8
533;0,02;23;0,2;248;11;Tr;0,2;Tr;;;Tr;Tr;0,06;Tr;Tr
534;0,06;26;0,3;236;53;0,05;0,2;Tr;;;Tr;Tr;Tr;0,93;Tr
535;0,23;111;0,9;1344;124;0,17;0,6;Tr;33;16;0,04;Tr;0,03;1,10;10,3
536;0,11;57;1,0;29;58;0,06;2,7;Tr;;;Tr;Tr;Tr;4,27; 
537;0,03;186;2,7;123;322;0,14;2,0;28;;;0,06;0,05;Tr;3,25;Tr
538;0,03;195;1,5;99;307;0,12;0,6;28;;;0,07;0,04;0,03;3,37;Tr
539;0,38;199;2,2;365;349;0,22;1,4;9;;;Tr;Tr;Tr;1,44;Tr
540;0,24;105;1,3;278;303;0,15;0,8;Tr; ; ;0,08;0,03;Tr;0,93;Tr
541;0,09;167;0,8;29;256;0,02;0,5;8;;;0,03;Tr;Tr;1,64;5,3
542;0,22;54;1,4;9;84;0,09;0,8;Tr;;;0,04;Tr;Tr;1,44;Tr
543;0,60;55;3,2;407;148;0,16;2,0;Tr;222;111;0,04;0,07;0,05;2,58;Tr
544;0,05;43;0,8;247;153;0,61;1,6;Tr;105;52;Tr;0,03;0,04;;Tr
545;0,10;22;0,2;228;141;0,04;0,2;Tr;283;141;0,04;Tr;0,04;Tr;Tr
546;0,24;45;0,4;3;244;0,17;0,3;NA;510;255;0,05;0,03;0,03;Tr;29,4
547;0,03;103;0,3;248;149;0,08;0,4;Tr;15;7;0,05;Tr;Tr;1,48;9,3
548;0,10;164;7,2;216;199;1,48;1,8;1464;;;Tr;0,11;Tr;3,84;Tr
549;0,37;35;0,6;1;188;0,12;0,6;NA;;;0,03;Tr;Tr;0,60;16,2
550;0,12;89;0,9;1349;240;0,22;0,8;Tr;35;18;0,05;Tr;Tr;;Tr
551;0,06;8;0,2;158;19;0,01;0,0;75;;;Tr;Tr;Tr;Tr;Tr
552;0,52;31;1,1;5;391;0,12;0,9;NA;51;25;Tr;Tr;0,05;Tr;46,4
553;0,04;72;0,7;26;220;0,12;1,2;Tr;;;Tr;Tr;Tr;0,77;Tr
554;0,48;108;1,4;880;209;0,28;0,9;Tr;;;Tr;Tr;Tr;1,80;Tr
555;0,15;135;1,1;346;237;0,07;1,0;10;;;0,14;0,05;Tr;2,60;Tr
556;0,15;83;0,6;794;159;0,06;0,7;NA;62;31;0,16;Tr;Tr;2,09;Tr
