id;Manganes(mg);Fosforo(mg);Ferro(mg);Sodio(mg);Potassio(mg);Cobre(mg);Zinco(mg);Retinol(mcg);RE(mcg);RAE (mcg);Tiamina(mg);Riboflavina(mg);Piridoxina(mg);Niacina(mg);Vitamina_C(mg)
270;Tr;9;0,7;44;13;Tr;Tr;NA;;;;;;;
271;0,04;9;Tr;1;156;0,01;Tr;NA;;;;;;;
272;Tr;Tr;Tr;3;Tr;0,06;Tr;NA;;;Tr;Tr;Tr;Tr;
273;0,21;5;0,8;Tr;18;0,01;0,1;NA;;;Tr;Tr;0,03;Tr;2,8
274;0,01;19;Tr;4;29;Tr;Tr;NA;;;Tr;Tr;0,14;2,92;Tr
275;0,01;1;Tr;1;10;0,01;Tr;NA;;;1,23;0,23; ; ; 
276;0,27;Tr;Tr;Tr;5;Tr;Tr;NA;;;0,89;Tr; ; ; 
277;0,09;2;Tr;Tr;13;Tr;Tr;NA;;;3,11;0,48; ; ; 
278;0,25;4;Tr;2;162;Tr;Tr;NA;;;0,01;Tr;Tr;Tr;2,4
279;Tr;0;Tr;8;2;Tr;Tr;NA;;;;;;;
280;Tr;17;Tr;7;1;Tr;Tr;NA;;;;;;;
281;Tr;Tr;Tr;9;1;Tr;Tr;NA;;;;;;;
282;Tr;1;Tr;9;16;Tr;Tr;NA;;;;;;;
283;Tr;Tr;Tr;9;4;Tr;Tr;NA;;;;;;;
