id;Manganes(mg);Fosforo(mg);Ferro(mg);Sodio(mg);Potassio(mg);Cobre(mg);Zinco(mg);Retinol(mcg);RE(mcg);RAE (mcg);Tiamina(mg);Riboflavina(mg);Piridoxina(mg);Niacina(mg);Vitamina_C(mg)
323;0,04;225;0,9;943;270;0,03;1,6;Tr;;;0,62;0,04;Tr;0,70;Tr
324;0,02;123;Tr;22180;218;Tr;Tr;Tr; ;;0,70;0,07;0,27;Tr;
325;0,13;48;0,7;22300;68;Tr;0,3;Tr; ; ;0,05;0,04;Tr;*;
326;0,01;164;2,7;52;256;0,06;8,1;Tr;Tr;Tr;Tr;0,32;Tr;1,76;
327;Tr;158;1,8;49;237;0,08;6,3;2;2;2;0,15;0,21;0,03;4,33;
328;Tr;164;2,4;56;254;0,07;8,0;Tr;Tr;Tr;Tr;0,04;0,07;1,63;
329;Tr;144;1,5;50;234;0,04;5,2;2;2;2;0,12;0,12;Tr;2,33;
330;0,17;145;1,6;621;328;0,15;2,3;Tr; ; ;0,11;0,04;Tr;2,20; 
331;0,41;244;1,9;1030;536;0,19;2,6;Tr; ; ;0,13;0,07;Tr;6,60;
332;0,01;63;0,6;38;70;0,05;2,5;Tr;Tr;Tr;Tr;Tr;Tr;2,18;
333;0,01;61;0,5;45;85;0,06;2,1;Tr;Tr;Tr;Tr;Tr;Tr;2,13;
334;0,01;144;1,5;58;267;0,06;3,5;4;4;4;0,09;0,09;0,12;1,55;
335;Tr;214;2,6;81;323;0,13;6,2;Tr;Tr;Tr;Tr;0,06;Tr;1,74;
336;Tr;178;2,0;79;325;0,06;4,6;Tr;Tr;Tr;Tr;0,04;Tr;1,81;
337;0,01;287;2,8;83;385;0,12;7,6;Tr;Tr;Tr;0,03;0,08;Tr;1,86;
338;0,02;101;3,5;1443;90;0,07;6,1;Tr;Tr;Tr;0,05;0,07;Tr;1,50;
339;Tr;122;1,5;5875;236;0,03;3,9;Tr;Tr;Tr;0,12;0,07;Tr;1,63;
340;0,27;203;2,9;77;271;0,10;2,9;15;;;0,07;0,04;Tr;3,02;
341;Tr;164;1,6;39;245;0,04;4,4;3;3;3;0,14;0,08;Tr;2,68;
342;0,01;252;2,8;51;383;0,08;6,7;Tr;Tr;Tr;Tr;0,19;0,17;2,75;
343;0,01;164;1,3;44;285;0,04;2,8;4;4;4;0,11;0,08;0,03;3,79;
344;Tr;219;2,4;57;352;0,09;4,8;Tr;Tr;Tr;Tr;0,18;0,13;4,91;
345;Tr;184;1,7;53;335;0,05;3,2;Tr;Tr;Tr;Tr;0,20;Tr;4,64;
346;Tr;241;2,4;58;386;0,09;5,1;Tr;Tr;Tr;Tr;0,17;0,16;4,93;
347;Tr;179;2,2;92;270;0,08;5,5;Tr;Tr;Tr;Tr;0,08;0,35;0,56;
348;Tr;130;1,2;70;151;Tr;2,7;5;5;5;0,12;0,11;Tr;5,99;
349;Tr;189;1,7;41;252;0,07;5,0;2;2;2;Tr;Tr;Tr;3,26;
350;Tr;189;1,9;49;358;0,05;2,8;2;2;2;0,12;0,20;Tr;4,38;
351;Tr;183;2,6;44;239;0,11;4,7;2;2;2;Tr;Tr;Tr;4,09;
352;Tr;175;1,9;61;335;0,05;2,6;3;3;3;0,12;0,19;Tr;2,32;
353;Tr;212;2,7;72;321;0,08;5,3;Tr;Tr;Tr;Tr;0,08;0,14;2,16;
354;Tr;220;1,1;47;151;0,03;2,4;3;3;3;0,11;0,05;0,03;3,33;
355;0,26;334;5,6;76;265;9,01;3,5;7937;7937;7937;0,14;0,90;Tr;10,66;
356;0,22;420;5,8;82;309;12,58;4,0;14574;14574;14574;0,21;2,69;Tr;11,92;
357;0,01;193;1,9;49;322;0,08;2,8;4;4;4;0,12;0,10;0,04;1,78;
358;0,02;308;2,9;58;326;0,14;4,1;Tr;Tr;Tr;0,03;0,08;0,05;4,27;
359;Tr;181;2,8;42;249;0,07;5,6;2;2;2;Tr;Tr;Tr;2,32;
360;Tr;167;1,6;54;324;0,05;4,5;2;2;2;0,11;0,16;Tr;3,28;
361;Tr;161;2,0;39;207;0,07;6,5;Tr;Tr;Tr;Tr;0,05;0,07;1,61;
362;0,00;131;1,5;51;274;0,04;4,2;5;5;5;0,08;0,07;0,03;3,56;
363;Tr;167;1,9;48;254;0,05;7,0;3;3;3;Tr;Tr;Tr;2,55;
364;Tr;185;1,3;54;362;0,05;2,4;2;2;2;0,10;0,14;0,03;2,19;
365;0,01;136;2,1;59;175;0,08;4,1;Tr;Tr;Tr;Tr;0,08;Tr;1,83;
366;0,02;164;1,7;73;251;0,09;2,9;Tr;Tr;Tr;0,05;0,04;Tr;1,18;
367;Tr;181;1,1;37;274;0,03;3,5;3;3;3;0,12;0,08;0,03;4,27;
368;Tr;237;2,4;58;386;0,08;5,6;Tr;Tr;Tr;Tr;0,04;0,13;1,46;
369;0,01;165;2,0;43;299;0,06;3,0;4;4;4;0,12;0,07;Tr;3,59;
370;0,02;279;3,2;52;385;0,11;4,8;Tr;Tr;Tr;0,03;0,05;0,05;4,66;
371;Tr;176;2,4;62;253;0,08;6,4;2;2;2;Tr;Tr;Tr;1,97;
372;Tr;162;1,9;66;296;0,05;3,7;2;2;2;0,09;0,19;0,04;2,79;
373;Tr;158;1,8;65;250;0,08;3,7;Tr;Tr;Tr;Tr;0,04;,0,02;0,91;
374;Tr;197;2,2;58;250;0,10;6,8;Tr;Tr;Tr;0,03;0,04;Tr;2,16;
375;Tr;163;1,9;66;319;0,05;3,3;3;3;3;0,13;0,21;Tr;2,67;
376;0,01;170;1,8;49;318;0,05;4,5;2;2;2;0,11;0,08;Tr;3,61;
377;0,02;289;3,0;60;421;0,12;8,1;Tr;Tr;Tr;0,04;0,03;Tr;3,01;
