id;Manganes(mg);Fosforo(mg);Ferro(mg);Sodio(mg);Potassio(mg);Cobre(mg);Zinco(mg);Retinol(mcg);RE(mcg);RAE (mcg);Tiamina(mg);Riboflavina(mg);Piridoxina(mg);Niacina(mg);Vitamina_C(mg);;;
1;0,63;106;0,3;1;75;0,02;0,7;NA;;;0,08;Tr;0,08;Tr;;;;
2;2,99;251;0,9;2;173;0,07;1,4;NA;;;0,26;Tr;0,18;4,18;;;;
3;0,30;18;0,1;1;15;0,02;0,5;NA;;;Tr;Tr;Tr;Tr;;;;
4;1,03;104;0,7;1;62;0,11;1,2;NA;;;0,16;Tr;0,07;1,12;;;;
5;0,37;22;0,1;2;20;0,04;0,5;NA;;;Tr;Tr;Tr;Tr;;;;
6;0,83;82;0,6;1;57;0,05;1,3;NA;;;0,16;Tr;0,05;0,92;;;;
7;1,89;153;4,4;5;336;0,44;2,6;NA;;;0,55;0,03;Tr;4,47;1,4;;;
8;0,78;166;1,8;352;142;0,17;1,0;NA;;;1,01;0,42;0,23;3,91;6,2;;;
9;0,59;139;2,3;239;232;0,27;1,0;Tr; ; ;0,32;0,39;0,46;2,52;3,5;;;
10;0,66;138;1,5;230;113;0,13;0,7;Tr; ; ;0,90;0,42;0,21;1,50;Tr;;;
11;0,44;124;2,4;137;240;0,26;0,9;Tr; ; ;0,37;0,03;0,30;1,12;Tr;;;
12;0,28;73;1,1;120;75;0,08;0,5;Tr; ; ;0,36;Tr;0,94;0,37;;;;
13;0,69;148;2,2;854;181;0,18;1,1;NA;;;0,71;0,13;0,17;7,14;;;;
14;0,46;333;1,2;463;75;0,15;0,6;NA;;;0,18;Tr;1,50;1,52;Tr;;;
15;0,11;122;0,5;111;135;0,05;0,4;Tr; ; ;0,13;0,07;Tr;Tr;Tr;;;
16;0,38;197;2,1;283;212;0,05;0,7;Tr; ; ;0,13;0,09;0,05;Tr;Tr;;;
17;0,40;303;0,8;190;143;0,09;0,7;Tr;Tr;Tr;0,15;0,06;Tr;Tr;Tr;;;
18;0,11;128;0,7;134;118;0,04;0,4;57;;;0,11;0,05;Tr;Tr;Tr;;;
19;0,09;48;0,3;1;93;0,05;0,4;NA;;;Tr;Tr;Tr;Tr;Tr;;;
20;0,02;41;0,1;28;70;0,03;0,3;Tr;;;Tr;0,04;Tr;Tr;Tr;;;
21;Tr;91;0,5;272;69;Tr;0,6;NA;;;0,12;Tr;0,06;Tr;Tr;;;
22;Tr;58;1,7;31;29;0,24;0,3;NA;;;0,05;Tr;0,04;Tr;Tr;;;
23;0,11;169;3,0;399;82;0,04;0,4;21;;;3,72;0,47;5,08;24,16;109,4;;;
24;2,28;515;12,6;1163;244;0,21;2,0;Tr;;;0,76;0,88;1,49;7,46;13,1;;;
25;0,06;101;3,1;655;83;0,06;7,6;NA;31;15;0,76;1,02;2,25;11,04;17,3;;;
26;0,13;43;3,9;405;52;0,04;8,5;NA;31;15;0,73;1,11;0,79;10,13;14,6;;;
27;1,24;153;0,6;1;115;0,04;1,9;NA;;;0,22;Tr;0,05;Tr;Tr;;;
28;0,20;303;4,3;594;166;0,04;0,8;NA;;;0,74;Tr;2,05;Tr;96,3;;;
29;0,06;75;0,4;21;162;0,03;0,4;12;20;16;0,04;0,07;Tr;Tr;Tr;;;
30;0,05;45;0,9;223;55;0,03;0,2;NA;;;0,13;Tr;Tr;Tr;Tr;;;
31;0,04;36;31,4;17;13;Tr;8,5;NA;;;3,23;Tr;3,47;24,42;173,6;;;
32;3,86;340;4,7;41;334;0,56;2,7;NA;;;0,29;0,03;0,08;Tr;Tr;;;
33;Tr;84;2,3;45;58;0,27;0,6;NA;18;9;0,25;Tr;0,25;Tr;Tr;;;
34;1,62;195;6,7;333;212;0,26;1,7;NA;;;0,25;Tr;0,09;Tr;Tr;;;
