id;Manganes(mg);Fosforo(mg);Ferro(mg);Sodio(mg);Potassio(mg);Cobre(mg);Zinco(mg);Retinol(mcg);RE(mcg);RAE (mcg);Tiamina(mg);Riboflavina(mg);Piridoxina(mg);Niacina(mg);Vitamina_C(mg)
164;0,17;22;0,2;Tr;206;0,15;0,2;NA;;;Tr;0,04;Tr;Tr;8,7
165;1,62;13;0,3;Tr;131;0,11;0,1;NA;;;0,17;0,02;Tr;Tr;34,6
166;1,02;8;0,4;1;107;0,04;0,1;NA;2;1;0,05;Tr;Tr;Tr;1,2
167;0,08;20;0,2;Tr;128;0,09;0,1;NA;;;Tr;0,04;0,05;Tr;10,3
168;3,29;11;0,3;15;75;0,14;0,2;NA;;;Tr;Tr;0,07;Tr;10,3
169;6,16;16;0,4;5;124;0,18;0,3;NA;;;Tr;0,04;0,07;Tr;Tr
170;0,07;9;0,2;Tr;165;0,07;0,1;NA;247;124;Tr;0,04;Tr;1,38;941,4
171;0,03;13;0,2;1;112;0,04;0,1;NA;192;96;Tr;0,10;Tr;Tr;623,2
172;0,10;21;2,2;3;221;0,03;0,1;NA;;;Tr;0,23;0,37;Tr;4,3
173;0,03;14;0,1;Tr;134;0,06;0,1;NA;27;14;0,07;Tr;0,03;Tr;7,6
174;0,20;26;2,7;3;263;0,16;0,2;NA;;;Tr;0,22;0,08;Tr;5,2
175;0,16;23;0,2;1;300;0,17;0,2;NA;;;0,09;0,07;0,07;1,58;10,1
176;0,16;26;0,3;Tr;328;0,05;0,2;NA;239;119;0,03;0,02;0,14;Tr;15,7
177;0,84;37;0,6;10;518;0,16;0,3;NA;27;14;0,03;Tr;0,06;1,41;Tr
178;0,21;16;0,2;Tr;387;0,06;0,1;NA;;;0,09;Tr;0,03;Tr;17,5
179;0,60;29;0,2;Tr;264;0,11;0,1;NA;6;3;Tr;Tr;0,14;Tr;10,5
180;0,14;27;0,3;Tr;376;0,10;0,2;NA;14;7;Tr;0,02;0,14;Tr;5,9
181;0,09;22;0,3;Tr;355;0,08;0,3;NA;50;25;Tr;Tr;0,14;Tr;7,6
182;0,41;20;0,4;1;267;0,06;0,1;NA;;;0,05;0,03;0,17;Tr;Tr
183;0,42;22;0,4;Tr;358;0,05;0,1;NA;32;16;Tr;0,02;0,10;Tr;21,6
184;0,04;9;0,3;1;72;0,15;0,6;NA;;;0,25;Tr;0,04;Tr;13,6
185;0,05;24;0,2;1;119;0,02;0,2;NA;;;0,11;Tr;0,05;Tr;26,7
186;0,07;26;0,3;7;148;0,10;0,1;NA;106;53;0,04;Tr;Tr;Tr;Tr
187;0,12;16;0,2;3;124;0,07;0,1;NA;15;7;Tr;Tr;Tr;Tr;219,3
188;0,05;10;0,1;4;88;0,07;0,1;NA;22;11;Tr;0,02;Tr;2,25;119,7
189;0,06;11;0,1;45;107;0,04;0,1;NA;10;5;Tr;0,03;Tr;Tr;138,7
190;0,39;18;0,1;2;164;Tr;0,2;NA;;;Tr;Tr;0,03;Tr;29,6
191;0,13;11;0,2;4;133;0,08;0,2;NA;;;0,12;Tr;Tr;Tr;60,9
192;0,06;49;0,4;2;248;0,12;0,5;NA;;;0,14;Tr;Tr;Tr;27,0
193;0,07;21;0,5;3;331;0,07;0,3;NA;;;0,37;0,04;0,07;4,34;24,5
194;0,17;14;0,3;1;291;0,14;0,2;NA;;;0,07;0,07;0,05;Tr;10,5
195;0,06;15;0,2;Tr;174;0,13;0,1;NA;;;0,05;Tr;Tr;Tr;0,8
196;0,16;6;0,5;7;39;0,25;0,1;NA;;;Tr;Tr;Tr;Tr;5,2
197;0,04;27;0,2;1;188;0,07;0,1;NA;;;0,03;Tr;Tr;Tr;9,9
198;0,07;16;0,2;Tr;220;0,04;0,2;NA;;;Tr;Tr;0,03;Tr;99,2
199;0,11;54;0,4;4;165;0,06;0,1;NA;136;68;0,07;Tr;Tr;Tr;23,1
200;0,16;28;0,4;11;251;0,08;0,1;NA;50;25;Tr;Tr;Tr;1,41;34,3
201;0,09;15;0,2;Tr;198;0,04;0,1;NA;38;19;Tr;Tr;0,03;Tr;80,6
202;0,08;19;0,2;4;250;0,04;0,1;NA;;;0,17;0,12;0,03;Tr;19,1
203;0,06;17;0,1;3;170;0,06;0,1;NA;;;Tr;0,09;Tr;Tr;10,5
204;0,30;15;0,1;Tr;130;0,07;0,3;NA;;;0,06;Tr;Tr;Tr;16,2
205;0,48;14;0,4;2;234;0,09;0,2;NA;;;0,10;0,04;0,05;Tr;14,8
206;0,05;18;0,1;22;135;0,02;0,1;NA;;;0,08;Tr;Tr;1,18;3,8
207;Tr;4;0,0;1;394;0,03;0,0;NA;8;4;0,17;Tr;0,12;Tr;27,1
208;0,05;33;0,3;Tr;269;0,15;0,1;NA;5;3;Tr;Tr;0,06;Tr;70,8
209;0,04;24;0,1;Tr;174;0,04;0,1;NA;4;2;0,06;0,02;Tr;Tr;56,9
210;0,02;22;0,1;Tr;173;0,02;Tr;NA;4;2;0,03;Tr;0,02;Tr;94,5
211;0,04;20;0,1;1;173;0,04;0,2;NA;;;0,07;0,09;0,03;Tr;34,7
212;0,02;15;0,1;Tr;145;0,02;0,1;NA;4;2;0,04;Tr;0,04;Tr;44,3
213;0,05;15;0,1;1;130;0,03;0,1;NA;;;0,09;0,05;0,04;Tr;43,5
214;0,02;16;Tr;Tr;129;0,02;0,0;NA;;;0,10;0,03;0,04;Tr;41,3
215;0,05;23;0,1;Tr;163;0,03;0,1;NA;1;0;0,07;0,02;0,02;Tr;53,7
216;0,03;14;Tr;Tr;149;0,01;Tr;NA;1;1;Tr;Tr;Tr;Tr;73,3
