id;Manganes(mg);Fosforo(mg);Ferro(mg);Sodio(mg);Potassio(mg);Cobre(mg);Zinco(mg);Retinol(mcg);RE(mcg);RAE (mcg);Tiamina(mg);Riboflavina(mg);Piridoxina(mg);Niacina(mg);Vitamina_C(mg)
259;;;;;;;;NA;;;;;;;
260;;;;;;;;NA;;;;;;;
261;Tr;28;0,2;579;15;Tr;Tr;924;;;Tr;Tr;Tr;Tr;Tr
262;Tr;7;Tr;4;5;0,04;Tr;1013;;;Tr;Tr;Tr;Tr;Tr
263;Tr;7;0,1;894;21;Tr;Tr;462;;;Tr;Tr;Tr;Tr;Tr
264;Tr;4;0,1;78;2;Tr;Tr;534;;;Tr;Tr;Tr;Tr;Tr
265;Tr;6;Tr;561;15;Tr;Tr;385;;;Tr;Tr;Tr;Tr;Tr
266;Tr;7;0,1;33;5;Tr;Tr;245;;;Tr;Tr;Tr;Tr;Tr
267;;;;;;;;NA;;;;;;;
268;;;;;;;;NA;;;;;;;
269;;;;;;;;NA;;;;;;;
270;;;;;;;;NA;;;;;;;
271;;;;;;;;NA;;;;;;;
272;;;;;;;;NA;;;;;;;
