id;Manganes(mg);Fosforo(mg);Ferro(mg);Sodio(mg);Potassio(mg);Cobre(mg);Zinco(mg);Retinol(mcg);RE(mcg);RAE (mcg);Tiamina(mg);Riboflavina(mg);Piridoxina(mg);Niacina(mg);Vitamina_C(mg)
556;1,96;407;2,5;Tr;580;0,78;3,2;NA;;;0,10;0,03;0,76;10,18;Tr
557;1,70;261;1,3;376;496;0,68;2,1;NA;;;0,08;Tr;0,21;7,47;Tr
558;0,40;152;1,4;Tr;311;0,20;1,2;NA;;;0,27;0,07;0,06;1,16;12,4
559;0,46;79;1,4;372;147;0,14;0,9;NA;9;5;0,07;0,03;Tr;Tr; 
560;0,28;87;1,3;2;255;0,19;0,7;NA;;;0,04;Tr;Tr;Tr;Tr
561;1,02;385;8,0;Tr;1352;0,79;2,9;NA;;;0,17;Tr;0,65;4,02; 
562;0,53;85;1,1;1;253;0,10;1,1;NA;;;0,12;Tr;Tr;Tr;Tr
563;1,43;355;5,1;10;1083;0,70;3,9;NA;;;0,14;0,03;0,26;Tr;Tr
564;0,32;121;1,9;1;348;0,24;1,0;NA;;;0,13;Tr;0,04;Tr;Tr
565;0,99;427;7,0;25;1276;0,95;3,0;NA;;;0,10;Tr;0,12;Tr;Tr
566;0,37;88;1,5;2;256;0,20;0,7;NA;;;0,06;Tr;0,03;Tr;Tr
567;1,32;471;6,5;Tr;1416;0,83;2,9;NA;;;0,12;Tr;0,59;4,60; 
568;0,29;113;1,4;1;315;0,23;0,9;NA;;;0,09;Tr;0,04;Tr;Tr
569;1,17;335;18,6;14;1135;0,84;2,6;NA;;;0,07;0,03;0,07;Tr;Tr
570;0,46;90;1,2;2;241;0,09;1,3;NA;;;Tr;Tr;Tr;3,69;Tr
571;1,08;394;5,3;24;1109;0,60;4,0;NA;;;0,16;0,03;Tr;3,92;Tr
572;0,32;106;1,4;1;268;0,22;1,0;NA;;;0,15;Tr;0,03;Tr;Tr
573;1,34;394;6,9;10;1221;1,04;3,3;NA;;;0,26;Tr;0,08;Tr;Tr
574;3,16;342;5,4;5;1116;0,67;3,2;NA;;;0,52;Tr;0,75;Tr;Tr
575;1,02;269;1,9;2;1215;0,57;2,0;NA;;;1,06;Tr;0,07;2,69;1,5
576;0,29;104;1,5;1;220;0,17;1,1;NA;;;0,03;Tr;Tr;Tr;Tr
577;1,08;368;7,0;Tr;887;0,83;3,5;NA; ; ;0,11;Tr;0,42;5,07; 
578;1,06;198;1,1;167;348;0,38;1,6;NA;;;Tr;Tr;1,20;Tr;Tr
579;1,09;171;1,3;16;355;0,43;1,4;NA;;;0,04;0,03;0,11;5,94;Tr
580;2,87;539;13,1;6;1922;1,29;4,5;NA;;;0,20;0,04;0,03;Tr;Tr
581;0,15;53;0,4;57;121;0,08;0,3;NA;;;Tr;Tr;Tr;Tr;Tr
582;2,68;647;7,0;83;1607;1,19;5,8;NA;;;Tr;0,11;0,35;Tr;9,2
583;0,33;130;1,4;1;182;0,18;0,9;NA;;;0,04;Tr;0,03;Tr;Tr
584;*;265;2,8;3;708;0,79;4,2;NA;;;0,24;Tr;0,07;Tr;25,0
585;*;40;0,3;1809;5;0,27;0,6;NA;;;Tr;Tr;Tr;Tr;Tr
