id;Manganes(mg);Fosforo(mg);Ferro(mg);Sodio(mg);Potassio(mg);Cobre(mg);Zinco(mg);Retinol(mcg);RE(mcg);RAE (mcg);Tiamina(mg);Riboflavina(mg);Piridoxina(mg);Niacina(mg);Vitamina_C(mg)
446;Tr;63;Tr;46;62;0,02;0,2;Tr;;;0,03;0,14;Tr;0,33;2,1
447;0,01;118;0,3;52;119;0,02;0,3;128;;;Tr;0,10;Tr;0,00;Tr
448;Tr;119;Tr;52;71;0,02;0,4;23;;;0,04;0,22;Tr;Tr;0,9
449;Tr;110;Tr;60;182;Tr;0,5;*;;;Tr;0,22;Tr;Tr;0,3
450;*;*;*;*;*;*;*;*;;;*;*;*;*;
451;Tr;73;Tr;38;52;0,02;0,3;27;;;0,03;0,12;0,02;Tr;Tr
452;Tr;66;0,1;37;52;0,02;0,3;21;;;0,02;0,10;Tr;0,38;Tr
453;Tr;187;0,1;94;329;0,03;0,9;53;;;0,06;0,33;0,57;Tr;2,1
454;Tr;113;0,1;74;140;0,04;0,4;35;;;Tr;0,14;Tr;Tr;Tr
455;0,05;71;0,5;72;155;0,04;0,3;39;;;0,07;0,29;0,14;1,23;3,3
456;Tr;1673;0,9;432;1556;0,16;3,8;299;;;0,32;1,20;Tr;0,81;
457;Tr;85;Tr;51;140;0,02;0,4;Tr;;;0,04;0,26;Tr;1,49;Tr
458;Tr;82;Tr;64;133;0,02;0,4;21;;;0,04;0,24;Tr;1,52;Tr
459;Tr;1242;0,5;323;1132;0,11;2,7;361;;;0,24;1,03;Tr;Tr;*
460;0,02;63;Tr;33;94;0,01;0,3;Tr;;;0,08;0,11;Tr;Tr;0,5
461;0,02;123;0,9;31;105;Tr;0,3;161;;;Tr;0,25;Tr;Tr;Tr
462;0,02;403;0,2;501;120;0,07;2,7;111;;;0,03;0,32;Tr;Tr;
463;0,03;470;0,3;581;62;0,08;3,5;109;;;Tr;0,20;Tr;Tr;
464;0,05;745;0,5;1844;96;0,17;4,4;66;;;Tr;0,44;0,23;Tr;Tr
465;0,01;578;0,3;780;194;0,05;1,3;57;;;Tr;0,20;Tr;Tr;Tr
466;0,02;448;0,1;412;121;0,01;2,7;273;;;0,22;0,27;0,21;2,68;Tr
467;0,03;461;0,3;580;73;0,10;3,5;123;;;Tr;0,22;Tr;Tr;
468;0,02;448;0,1;558;93;0,05;1,3;195;;;Tr;0,19;Tr;Tr;Tr
469;Tr;162;0,1;283;112;Tr;0,5;53;;;Tr;0,15;Tr;Tr;Tr
