id;Manganes(mg);Fosforo(mg);Ferro(mg);Sodio(mg);Potassio(mg);Cobre(mg);Zinco(mg);Retinol(mcg);RE(mcg);RAE (mcg);Tiamina(mg);Riboflavina(mg);Piridoxina(mg);Niacina(mg);Vitamina_C(mg)
587;1,95;493;3,1;279;640;0,93;2,6;NA;;;0,29;0,16;Tr;Tr;Tr
588;1,59;594;5,2;125;671;1,92;4,7;NA;;;0,29;0,05;0,39;Tr;Tr
589;1,10;853;2,3;1;651;1,79;4,2;NA;;;0,30;Tr;0,44;Tr;Tr
590;1,00;118;1,8;15;354;0,45;0,9;NA;;;Tr;Tr;0,03;Tr;2,5
591;0,38;26;18,3;12;362;0,22;0,3;NA;;;Tr;Tr;Tr;2,58;Tr
592;2,67;741;5,4;3;546;1,51;5,2;NA;;;0,94;Tr;0,13;5,92;Tr
593;2,81;615;4,7;9;869;1,09;4,4;NA;;;0,12;Tr;0,13;Tr;Tr
594;0,41;166;0,8;1;727;0,18;0,8;NA;;;Tr;Tr;Tr;Tr;27,7
595;0,13;49;0,5;1;303;0,28;0,3;NA;875;438;Tr;0,09;0,03;Tr;2,2
596;4,05;396;2,0;5;533;0,75;2,1;NA;;;0,38;Tr;0,13;1,08;Tr
