id;Manganes(mg);Fosforo(mg);Ferro(mg);Sodio(mg);Potassio(mg);Cobre(mg);Zinco(mg);Retinol(mcg);RE(mcg);RAE (mcg);Tiamina(mg);Riboflavina(mg);Piridoxina(mg);Niacina(mg);Vitamina_C(mg)
491;0,55;200;5,4;65;496;0,56;1,0;796;;;1,38;1,02;1,52;4,99;Tr
492; ;Tr;0,2;Tr;3; Tr;Tr;NA;;;;;;;
493;2,03;38;8,3;25;522;0,17;0,5;NA;;;Tr;0,03;Tr;Tr;Tr
494; ;Tr;0,1;12;6; Tr;Tr;NA;;;;;;;
495;0,30;212;1,6;77;355;0,31;1,1;Tr; ; ;0,05;0,22;0,59;0,63;Tr
496;0,36;303;1,5;64;431;0,45;1,3;36;;;0,04;0,24;Tr;1,37;1,4
497;0,41;276;3,3;85;458;0,43;1,1;7;;;0,31;0,25;Tr;0,79;2,0
498;0,83;220;3,6;9;432;0,77;1,5;Tr;;;0,20;0,04;Tr;1,06;2,1
499;0,36;396;1,2;29;183;0,20;0,4;NA;;;Tr;Tr;0,16;0,47;Tr
500;0,01;14;0,9;Tr;137;Tr;Tr;NA;;;0,08;Tr;0,04;Tr;0,1
501;0,01;141;0,1;120;259;0,02;0,5;36;36;36;0,05;0,26;Tr;Tr;Tr
502;Tr;Tr;0,1;43;2;Tr;Tr;Tr; ; ;0,19;Tr;0,22;Tr;Tr
503;Tr;5;0,1;59;5;Tr;Tr;NA;;; ; ; ; ; 
504;0,06;4;0,4;15;24;0,20;0,1;NA;;;0,04;Tr;Tr;Tr;Tr
505;0,09;5;0,5;14;36;0,03;0,1;NA;;;0,04;Tr;Tr;Tr;Tr
506;0,06;20;0,7;11;83;0,09;0,1;NA;;;Tr;Tr;Tr;Tr;Tr
507;0,38;4;0,3;6;99;Tr;0,2;NA;;;0,11;Tr;Tr;Tr;0,7
508;2,62;74;5,4;4;395;0,84;0,3;NA;;;Tr;0,05;0,20;Tr;Tr
509;0,25;168;1,4;27;111;0,10;1,1;76;;;Tr;0,04;0,04;1,14;Tr
510;1,66;21;4,4;22;459;0,17;0,6;NA;;;Tr;Tr;0,04;Tr;Tr
