id;Manganes(mg);Fosforo(mg);Ferro(mg);Sodio(mg);Potassio(mg);Cobre(mg);Zinco(mg);Retinol(mcg);RE(mcg);RAE (mcg);Tiamina(mg);Riboflavina(mg);Piridoxina(mg);Niacina(mg);Vitamina_C(mg)
64;0,26;33;0,3;1;199;0,06;0,3;NA;;;0,08;Tr;0,07;Tr;7,5
65;0,11;26;0,4;Tr;351;0,06;0,3;NA;446;223;Tr;Tr;0,10;Tr;5,1
66;0,01;12;0,2;Tr;165;0,02;Tr;NA;1108;554;0,07;Tr;0,04;Tr;1,5
67;0,01;8;Tr;Tr;125;0,05;0,1;NA;278;139;Tr;Tr;0,06;Tr;9,6
68;0,02;12;0,1;3;183;0,04;0,1;NA;95;48;0,05;Tr;0,05;Tr;6,7
69;0,07;32;0,3;1;264;0,09;0,2;NA;;;Tr;Tr;0,06;Tr;2,1
70;0,11;22;0,2;1;126;0,01;0,3;NA;;;0,05;Tr;0,06;Tr;2,1
71;0,09;32;0,2;Tr;253;0,05;0,2;NA;41;20;Tr;0,06;0,03;Tr;6,9
72;0,14;32;0,4;2;194;0,02;0,3;NA;42;21;0,04;Tr;Tr;Tr;7,5
73;0,11;33;0,2;1;213;0,10;0,2;NA;;;Tr;Tr;0,03;Tr;17,5
74;0,11;40;0,3;1;240;0,10;0,3;NA;;;0,04;Tr;0,16;Tr;22,6
75;0,28;51;3,1;7;218;0,10;0,7;NA;458;229;0,11;0,23;0,09;1,19;60,1
76;0,18;28;0,7;10;274;0,31;0,1;NA;916;458;Tr;Tr;0,18;Tr;5,9
77;0,12;19;0,3;7;136;0,02;0,2;NA;;;0,03;Tr;0,04;Tr;11,0
78;0,20;26;0,4;3;267;0,03;0,3;NA;234;117;0,11;0,12;Tr;1,09;15,6
79;0,33;26;0,6;4;349;0,03;0,3;NA;368;184;0,09;0,08;0,07;0,75;21,4
80;0,12;51;2,5;7;308;0,04;0,2;NA;312;156;Tr;Tr;Tr;Tr;13,5
81;0,15;50;1,3;5;261;0,15;0,7;NA;;;Tr;0,12;0,56;Tr;Tr
82;0,24;149;0,8;5;535;0,15;0,8;NA;;;0,18;Tr;0,44;Tr;*
83;0,10;36;0,6;2;224;0,29;0,2;NA;16;8;0,06;Tr;0,08;0,34;14,1
84;0,17;40;0,7;2;369;0,10;0,3;NA;566;283;0,10;0,18;Tr;0,63;1,7
85;0,28;31;1,6;15;315;0,06;0,2;NA;;;0,03;0,06;0,05;4,03;1,5
86;0,22;29;0,4;2;258;0,15;0,4;NA;;;0,06;Tr;Tr;1,98;17,1
87;0,07;45;0,3;Tr;505;0,05;0,2;NA;25;12;0,05;Tr;0,12;Tr;7,6
88;0,14;15;0,2;3;148;0,06;0,1;NA;;;0,08;Tr;0,05;2,57;23,8
89;0,18;36;0,4;9;340;0,11;0,2;NA;;;0,06;Tr;0,10;Tr;16,5
90;0,23;96;0,7;607;1014;0,12;0,6;NA;;;0,20;Tr;0,13;2,61;Tr
91;0,07;24;0,2;2;161;0,06;0,2;NA;;;0,05;Tr;0,08;Tr;3,8
92;0,10;39;0,4;Tr;302;0,09;0,2;NA;;;0,10;Tr;0,15;Tr;31,1
93;0,15;70;0,4;2;489;0,10;0,4;NA;;;0,17;Tr;0,10;2,51;16,3
94;0,08;32;0,3;8;199;0,05;0,2;NA;;;0,07;Tr;0,09;1,38;Tr
95;0,11;15;0,2;1;105;0,04;0,1;NA;;;0,04;Tr;Tr;Tr;Tr
96;0,10;20;0,2;Tr;205;0,06;0,1;NA;24;12;0,04;0,05;Tr;Tr;3,0
97;0,19;30;0,2;23;245;0,04;0,4;NA;;;0,09;Tr;Tr;Tr;1,2
98;1,23;19;0,3;10;375;0,08;0,5;NA;;;0,04;Tr;0,04;Tr;3,1
99;0,08;23;1,8;98;54;0,04;0,1;Tr;;;Tr;0,03;0,07;Tr;Tr
100;0,12;33;0,5;2;119;0,08;0,2;NA;;;0,04;0,03;Tr;Tr;42,0
101;0,26;78;0,6;3;322;0,06;0,5;NA;279;140;0,12;0,18;0,08;1,39;34,3
102;0,02;28;0,3;1;203;0,11;0,2;NA;;;0,12;Tr;0,12;Tr;Tr
103;0,01;35;0,2;Tr;212;0,06;0,2;NA;;;0,11;Tr;0,02;Tr;8,8
104;0,89;77;4,5;14;279;0,37;6,0;NA;1906;953;Tr;0,10;0,11;Tr;5,4
105;0,34;32;3,1;9;412;0,27;0,5;NA;;;Tr;0,03;0,36;1,54;7,3
106;0,64;35;1,2;25;452;0,18;0,4;NA;850;425;0,04;Tr;0,03;0,60;Tr
107;0,13;38;0,2;1;176;0,05;0,2;NA;;;0,04;Tr;0,14;Tr;4,7
108;0,13;27;0,6;2;206;0,04;0,3;NA;134;67;0,03;0,04;0,08;Tr;31,8
109;0,05;27;0,1;8;176;0,02;0,2;NA;612;306;0,07;Tr;0,06;2,68;Tr
110;0,05;28;0,2;3;315;0,05;0,2;NA;1326;663;Tr;Tr;0,05;Tr;5,1
111;0,13;13;0,5;14;425;0,04;0,1;NA;;;0,03;0,10;Tr;0,68;6,5
112;0,07;13;0,1;2;54;Tr;0,1;NA;;;0,03;Tr;Tr;Tr;5,6
113;0,08;18;0,2;Tr;126;0,03;0,1;NA; ; ;Tr;Tr;Tr;Tr;10,6
114;10,48;388;81,4;18;3223;4,09;4,7;NA;;;0,10;0,11;0,09;Tr;40,8
115;1,02;49;0,5;6;403;0,06;0,4;NA;496;248;0,20;0,31;0,06;2,29;96,7
116;0,12;33;0,5;11;315;0,02;0,2;NA;384;192;Tr;0,05;0,07;Tr;76,9
117;0,16;57;0,5;3;256;0,03;0,3;NA;2;1;0,03;0,09;0,10;Tr;36,1
118;0,10;25;0,1;2;80;Tr;0,3;NA;;;0,04;Tr;Tr;Tr;23,7
119;0,71;25;0,4;17;336;0,06;0,3;NA;484;242;0,10;0,21;0,06;Tr;2,4
120;0,61;34;0,6;47;149;0,04;0,6;NA;624;312;0,08;0,13;0,13;Tr;5,3
121;Tr;42;1,1;1;340;0,08;0,4;NA;;;0,14;Tr;0,04;Tr;Tr
122;0,37;39;1,2;10;328;Tr;0,4;NA;;;Tr;Tr;0,81;Tr;Tr
123;0,16;33;1,4;4;338;0,07;0,3;NA;;;0,09;Tr;Tr;Tr;Tr
124;Tr;60;0,1;2;48;Tr;Tr;NA;;;0,03;Tr;Tr;Tr;Tr
125;0,19;75;0,8;2;189;0,17;0,6;NA;;;Tr;0,04;0,15;Tr;12,0
126;0,15;65;0,4;Tr;568;0,17;0,3;NA;;;0,08;Tr;0,11;Tr;5,6
127;0,14;29;0,3;Tr;213;0,07;0,1;NA;13;6;0,07;0,04;Tr;Tr;6,8
128;0,52;155;0,9;1;619;1,16;0,6;NA;;;0,13;0,02;0,20;Tr;13,8
129;0,06;22;0,1;1;100;0,01;0,2;NA;;;0,06;Tr;0,03;Tr;11,1
130;0,05;29;0,3;2;208;0,07;0,2;NA;;;Tr;Tr;0,04;Tr;16,5
131;0,29;45;1,4;575;201;Tr;0,2;NA;;;0,10;Tr;0,15;Tr;Tr
132;0,18;57;0,3;9;176;0,12;0,4;NA;;;0,05;Tr;0,04;Tr;Tr
133;0,17;40;1,0;4;252;0,16;0,5;NA;1035;517;0,06;0,21;0,06;0,90;2,3
134;0,07;25;0,4;11;328;0,02;0,2;NA;6;3;0,06;0,02;0,04;Tr;9,6
135;0,14;58;1,1;3;364;0,05;0,3;NA;;;0,05;0,04;0,05;Tr;38,6
136;0,30;68;1,6;7;164;0,10;0,5;15;;;0,08;Tr;0,04;Tr;Tr
137;4,42;17;0,2;2;280;0,02;0,2;NA;;;0,07;Tr;0,03;Tr;9,6
