id;Descricao;Umidade(%);Energia(kcal);Energia(kJ);Protei0(g);Lipideos(g);Colesterol(mg);Carboidratos(g);Fibra_Alimentar(g);Cinzas(g);Calcio(mg);Magnesio(mg)
525;Acarajé;50.5;289;1210;8.3;19.9;25;19.1;9.4;2.1;124;51
526;Arroz carreteiro;68.0;154;643;10.8;7.1;36;11.6;1.5;2.4;13;9
527;Baião de dois, arroz e feijão-de-corda;69.1;136;568;6.2;3.2;4;20.4;5.1;1.1;33;19
528;Barreado;71.2;165;690;18.3;9.5;60;0.2;0.1;0.8;15;21
529;Bife à cavalo, com contra filé;54.2;291;1219;23.7;21.1;257;0.0;0.0;1.1;26;19
530;Bolinho de arroz;41.5;274;1144;8.0;8.3;70;41.7;2.7;0.5;24;13
531;Camarão à baiana;82.0;101;422;7.9;6.0;117;3.2;0.4;0.9;43;15
532;Charuto, de repolho;81.5;78;327;6.8;1.1;21;10.1;1.5;0.4;23;13
533;Cuscuz, de milho, cozido com sal;71.1;113;475;2.2;0.7;0.0;25.3;2.1;0.7;2;3
534;Cuscuz, paulista;68.9;142;595;2.6;4.6;15;22.5;2.4;1.3;14;5
535;Cuxá, molho;81.0;80;335;5.6;3.6;58;5.7;3.0;4.0;105;34
536;Dobradinha;75.3;125;521;19.8;4.4;144;0.0;0.0;0.3;11;8
537;Estrogonofe de carne;70.1;173;724;15.0;10.8;66;3.0;;1.1;28;22
538;Estrogonofe de frango;70.9;157;656;17.6;8.0;80;2.6;;1.0;26;25
539;Feijão tropeiro mineiro;61.7;152;634;10.2;6.8;68;19.6;3.6;1.8;41;36
540;Feijoada;71.8;117;489;8.7;6.5;22;11.6;5.1;1.4;32;32
541;Frango, com açafrão;79.5;113;472;9.7;6.2;50;4.1;0.2;0.5;13;16
542;Macarrão, molho bolognesa;71.4;120;500;4.9;0.9;7;22.5;0.8;0.2;11;10
543;Maniçoba;76.4;134;562;10.0;8.7;43;3.4;2.2;1.5;66;24
544;Quibebe;81.1;86;361;8.6;2.7;0.0;6.6;1.7;1.0;8;10
545;Salada, de legumes, com maionese;82.0;96;402;1.1;7.0;7;8.9;2.2;0.9;12;9
546;Salada, de legumes, cozida no vapor;90.0;35;148;2.0;0.3;0.0;7.1;2.5;0.6;33;19
547;Salpicão, de frango;72.5;148;619;13.9;7.8;53;4.6;0.4;1.1;9;13
548;Sarapatel;75.0;123;515;18.5;4.4;315;1.1;;1.1;12;13
549;Tabule;85.8;57;240;2.0;1.2;0.0;10.6;2.1;0.4;19;18
550;Tacacá;85.2;47;196;7.0;0.4;71;3.4;0.2;4.1;45;30
551;Tapioca, com manteiga;24.9;348;1455;0.1;10.9;31;63.6;0.0;0.5;30;3
552;Tucupi, com pimenta-de-cheiro;91.9;27;114;2.1;0.3;0.0;4.7;0.2;1.0;28;42
553;Vaca atolada;75.0;145;606;5.1;9.3;19;10.1;2.3;0.5;63;16
554;Vatapá;58.4;255;1066;6.0;23.2;44;9.7;1.7;2.7;47;39
555;Virado à paulista;48.6;307;1284;10.2;25.6;66;14.1;2.2;1.5;41;22
556;Yakisoba;69.4;113;472;7.5;2.6;0.0;18.3;1.1;2.2;14;13
