id;Descricao;Umidade(%);Energia(kcal);Energia(kJ);Proteina(g);Lipideos(g);Colesterol(mg);Carboidratos(g);Fibra_Alimentar(g);Cinzas(g);Calcio(mg);Magnesio(mg);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Arroz, integral, cozido;70.1;124;517;2.6;1.0;0;25.8;2.7;0.5;5;59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Arroz, integral, cru;12.2;360;1505;7.3;1.9;0;77.5;4.8;1.2;8;110;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Arroz, tipo 1, cozido;69.1;128;537;2.5;0.2;0;28.1;1.6;0.1;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Arroz, tipo 1, cru;13.2;358;1497;7.2;0.3;0;78.8;1.6;0.5;4;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Arroz, tipo 2, cozido;68.7;130;544;2.6;0.4;0;28.2;1.1;0.1;3;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Arroz, tipo 2, cru;13.2;358;1498;7.2;0.3;0;78.9;1.7;0.4;5;29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Aveia, flocos, crua;9.1;394;1648;13.9;8.5;0;66.6;9.1;1.8;48;119;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;Biscoito, doce, maisena;3.2;443;1853;8.1;12.0;0;75.2;2.1;1.5;54;37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Biscoito, doce, recheado com chocolate;2.2;472;1974;6.4;19.6;0;70.5;3.0;1.3;27;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;Biscoito, doce, recheado com morango;2.7;471;1971;5.7;19.6;0;71.0;1.5;1.0;36;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;Biscoito, doce, wafer, recheado de chocolate;1.2;502;2102;5.6;24.7;0;67.5;1.8;1.1;23;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;Biscoito, doce, wafer, recheado de morango;1.2;513;2148;4.5;26.4;1;67.4;0.8;0.6;14;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;Biscoito, salgado, cream cracker;4.1;432;1806;10.1;14.4;0;68.7;2.5;2.7;20;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;Bolo, mistura para;1.0;419;1752;6.2;6.1;0;84.7;1.7;2.0;59;28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Bolo, pronto, aipim;34.1;324;1355;4.4;12.7;73;47.9;0.7;0.8;85;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;Bolo, pronto, chocolate;19.3;410;1715;6.2;18.5;77;54.7;1.4;1.3;75;28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;Bolo, pronto, coco;29.3;333;1395;5.7;11.3;63;52.3;1.1;1.4;57;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;Bolo, pronto, milho;36.7;311;1303;4.8;12.4;82;45.1;0.7;1.0;83;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;Canjica, branca, crua;13.6;358;1496;7.2;1.0;0;78.1;5.5;0.2;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;Canjica, com leite integral;72.5;112;471;2.4;1.2;1;23.6;1.2;0.3;43;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;Cereais, milho, flocos, com sal;9.3;370;1546;7.3;1.6;0;80.8;5.3;1.0;2;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;Cereais, milho, flocos, sem sal;11.2;363;1520;6.9;1.2;0;80.4;1.8;0.3;2;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;Cereais, mingau, milho, infantil;4.7;394;1650;6.4;1.1;0;87.3;3.2;0.5;219;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;Cereais, mistura para vitamina, naigo, cevada e aveia;4.4;381;1595;8.9;2.1;0;81.6;5.0;3.0;584;72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;Cereal matinal, milho;5.5;365;1529;7.2;1.0;0;83.8;4.1;2.5;143;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;Cereal matinal, milho, açúcar;4.3;377;1576;4.7;0.7;0;88.8;2.1;1.5;56;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Creme de arroz, pó;7.3;386;1615;7.0;1.2;0;83.9;1.1;0.5;7;51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;Creme de milho, pó;5.7;333;1393;4.8;1.6;0;86.1;3.7;1.7;323;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;Curau, milho verde;81.6;78;328;2.4;1.6;5;13.9;0.5;0.5;53;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;Curau, milho verde, mistura para;3.9;402;1683;2.2;13.4;0;79.8;2.5;0.7;31;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;Farinha, de arroz, enriquecida;12.7;363;1519;1.3;0.3;0;85.5;0.6;0.2;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
