id;Descricao;Umidade(%);Energia(kcal);Energia(kJ);Proteina(g);Lipideos(g);Colesterol(mg);Carboidratos(g);Fibra_Alimentar(g);Cinzas(g);Calcio(mg);Magnesio(mg)
259;Azeite, de dendê;0.0;884;3699;0.0;100.0;0;0.0;0.0;;;
260;Azeite, de oliva, exnaa virgem;0.0;884;3699;0.0;100.0;0;0.0;0.0;;;
261;Manteiga, com sal;15.8;726;3037;0.4;82.4;201;0.1;0.0;1.4;9;1
262;Manteiga, sem sal;13.6;758;3170;0.4;86.0;214;0.0;0.0;0.1;4;1
263;Margarina, com óleo hidrogenado, com sal (65% de lipídeos);32.2;596;2494;0.0;67.4;0;0.0;0.0;1.9;6;1
264;Margarina, com óleo hidrogenado, sem sal (8na% de lipídeos);19.6;723;3023;0.0;81.7;0;0.0;0.0;0.2;3;1
265;Margarina, com óleo interesterificado, com sal (65%de lipídeos);32.0;594;2487;0.0;67.2;0;0.0;0.0;1.2;5;1
266;Margarina, com óleo interesterificado, sem sal (65% de lipídeos);33.4;593;2482;0.0;67.1;0;0.0;0.0;0.1;5;1
267;Óleo, de babaçu;0.0;884;3699;0.0;100.0;0;0.0;0.0;;;
268;Óleo, de canola;0.0;884;3699;0.0;100.0;0;0.0;0.0;;;
269;Óleo, de girassol;0.0;884;3699;0.0;100.0;0;0.0;0.0;;;
270;Óleo, de milho;0.0;884;3699;0.0;100.0;0;0.0;0.0;;;
271;Óleo, de pequi;0.0;884;3699;0.0;100.0;0;0.0;0.0;;;
272;Óleo, de soja;0.0;884;3699;0.0;100.0;0;0.0;0.0;;;
