id;Descricao;Umidade(%);Energia(kcal);Energia(kJ);Protei0(g);Lipideos(g);Colesterol(mg);Carboidratos(g);Fibra_Alimentar(g);Cinzas(g);Calcio(mg);Magnesio(mg)
556;Amendoim, grão, cru;6.4;544;2276;27.2;43.9;0.0;20.3;8.0;2.2;0.0;171
557;Amendoim, torrado, salgado;1.7;606;2535;22.5;54.0;0.0;18.7;7.8;3.2;39;159
558;Ervilha, em vagem;76.8;88;367;7.5;0.5;0.0;14.2;9.7;1.0;24;42
559;Ervilha, enlatada, drenada;80.1;74;309;4.6;0.4;0.0;13.4;5.1;1.4;22;23
560;Feijão, carioca, cozido;80.4;76;320;4.8;0.5;0.0;13.6;8.5;0.7;27;42
561;Feijão, carioca, cru;14.0;329;1377;20.0;1.3;0.0;61.2;18.4;3.5;123;210
562;Feijão, fradinho, cozido;80.0;78;326;5.1;0.6;0.0;13.5;7.5;0.8;17;38
563;Feijão, fradinho, cru;12.7;339;1419;20.2;2.4;0.0;61.2;23.6;3.5;78;178
564;Feijão, jalo, cozido;75.8;93;388;6.1;0.5;0.0;16.5;13.9;1.0;29;44
565;Feijão, jalo, cru;13.5;328;1372;20.1;0.9;0.0;61.5;30.3;3.9;98;170
566;Feijão, preto, cozido;80.2;77;322;4.5;0.5;0.0;14.0;8.4;0.8;29;40
567;Feijão, preto, cru;14.9;324;1354;21.3;1.2;0.0;58.8;21.8;3.8;111;188
568;Feijão, rajado, cozido;77.9;85;354;5.5;0.4;0.0;15.3;9.3;0.9;29;42
569;Feijão, rajado, cru;15.0;326;1363;17.3;1.2;0.0;62.9;24.0;3.7;111;170
570;Feijão, rosinha, cozido;82.6;68;284;4.5;0.5;0.0;11.8;4.8;0.6;19;43
571;Feijão, rosinha, cru;12.0;337;1410;20.9;1.3;0.0;62.2;20.6;3.6;68;184
572;Feijão, roxo, cozido;80.0;77;322;5.7;0.5;0.0;12.9;11.5;0.8;23;34
573;Feijão, roxo, cru;12.6;331;1387;22.2;1.2;0.0;60.0;33.8;4.0;120;162
574;Grão-de-bico, cru;12.3;355;1484;21.2;5.4;0.0;57.9;12.4;3.2;114;146
575;Guandu, cru;11.4;344;1440;19.0;2.1;0.0;64.0;21.3;3.5;129;166
576;Lentilha, cozida;76.3;93;388;6.3;0.5;0.0;16.3;7.9;0.6;16;22
577;Lentilha, crua;11.5;339;1419;23.2;0.8;0.0;62.0;16.9;2.6;54;94
578;Paçoca, amendoim;1.8;487;2037;16.0;26.1;0.0;52.4;7.3;3.8;22;101
579;Pé-de-moleque, amendoim;2.9;503;2105;13.2;28.0;0.0;54.7;3.4;1.1;27;108
580;Soja, farinha;5.8;404;1690;36.0;14.6;0.0;38.4;20.2;5.1;206;242
581;Soja, extrato solúvel, natural, fluido;91.3;39;164;2.4;1.6;0.0;4.3;0.4;0.5;17;15
582;Soja, extrato solúvel, pó;4.5;459;1920;35.7;26.2;0.0;28.5;7.3;5.2;359;216
583;Soja, queijo (tofu);86.6;64;270;6.6;4.0;0.0;2.1;0.8;0.7;81;38
584;Tremoço, cru;9.7;381;1595;33.6;10.3;0.0;43.8;32.3;2.6;177;121
585;Tremoço, em conserva;67.7;121;505;11.1;3.8;0.0;12.4;14.4;5.0;16;4
