id;Descricao;Umidade(%);Energia(kcal);Energia(kJ);Protei0(g);Lipideos(g);Colesterol(mg);Carboidratos(g);Fibra_Alimentar(g);Cinzas(g);Calcio(mg);Magnesio(mg);;;;
446;Bebida láctea, pêssego;87.7;55;231;2.1;1.9;5;7.6;0.3;0.7;89;9;;;;
447;Creme de Leite;70.9;221;927;1.5;22.5;66;4.5;0.0;0.6;83;8;;;;
448;Iogurte, natural;90.0;51;215;4.1;3.0;14;1.9;0.0;0.9;143;11;;;;
449;Iogurte, natural, desnatado;89.2;41;174;3.8;0.3;3;5.8;0.0;0.9;157;12;;;;
450;Iogurte, sabor abacaxi;0.0;0;0;0.0;0.0;6;0.0;0.0;0.0;0;0;;;;
451;Iogurte, sabor morango;84.6;70;291;2.7;2.3;7;9.7;0.2;0.6;101;8;;;;
452;Iogurte, sabor pêssego;85.1;68;284;2.5;2.3;8;9.4;0.7;0.6;95;8;;;;
453;Leite, condensado;27.0;313;1308;7.7;6.7;28;57.0;0.0;1.6;246;22;;;;
454;Leite, de cabra;87.1;66;278;3.1;3.8;14;5.2;0.0;0.9;112;10;;;;
455;Leite, de vaca, achocolatado;80.9;83;347;2.1;2.2;6;14.2;0.6;0.7;70;13;;;;
456;Leite, de vaca, desnatado, pó;3.1;362;1513;34.7;0.9;25;53.0;0.0;8.2;1363;109;;;;
457;Leite, de vaca, desnatado, UHT;0.0;0;0;0.0;0.0;4;0.0;0.0;0.8;134;10;;;;
458;Leite, de vaca, integral;0.0;0;0;0.0;0.0;10;0.0;0.0;0.8;123;10;;;;
459;Leite, de vaca, integral, pó;2.7;497;2078;25.4;26.9;85;39.2;0.0;5.8;890;77;;;;
460;Leite, fermentado;81.9;70;291;1.9;0.1;2;15.7;0.0;0.5;72;6;;;;
461;Queijo, minas, frescal;56.1;264;1106;17.4;20.2;62;3.2;0.0;3.0;579;7;;;;
462;Queijo, minas, meia cura;47.1;321;1342;21.2;24.6;76;3.6;0.0;3.5;696;27;;;;
463;Queijo, mozarela;45.3;330;1380;22.6;25.2;80;3.0;0.0;3.8;875;24;;;;
464;Queijo, parmesão;21.2;453;1895;35.6;33.5;106;1.7;0.0;8.0;992;33;;;;
465;Queijo, pasteurizado;54.4;303;1268;9.4;27.4;82;5.7;0.0;3.1;323;16;;;;
466;Queijo, petit suisse, morango;72.2;121;507;5.8;2.8;12;18.5;0.0;0.7;731;27;;;;
467;Queijo, prato;42.4;360;1506;22.7;29.1;91;1.9;0.0;3.9;940;28;;;;
468;Queijo, requeijão, cremoso;62.5;257;1074;9.6;23.4;74;2.4;0.0;2.0;259;12;;;;
469;Queijo, ricota;73.6;140;585;12.6;8.1;49;3.8;0.0;1.9;253;12;;;;
