id;Descricao;Umidade(%);Energia(kcal);Energia(kJ);Protei0(g);Lipideos(g);Colesterol(mg);Carboidratos(g);Fibra_Alimentar(g);Cinzas(g);Calcio(mg);Magnesio(mg)
587;Amêndoa, torrada, salgada;3.1;581;2430;18.6;47.3;0.0;29.5;11.6;1.5;237;222
588;Castanha-de-caju, torrada, salgada;3.5;570;2386;18.5;46.3;0.0;29.1;3.7;2.6;33;237
589;Castanha-do-Brasil, crua;3.5;643;2690;14.5;63.5;0.0;15.1;7.9;3.4;146;365
590;Coco, cru;43.0;406;1701;3.7;42.0;0.0;10.4;5.4;1.0;6;51
591;Farinha, de mesocarpo de babaçu, crua;15.8;329;1376;1.4;0.2;0.0;79.2;17.9;3.4;61;39
592;Gergelim, semente;3.9;584;2442;21.2;50.4;0.0;21.6;11.9;2.9;825;361
593;Linhaça, semente;6.7;495;2072;14.1;32.3;0.0;43.3;33.5;3.7;211;347
594;Pinhão, cozido;50.5;174;730;3.0;0.7;0.0;43.9;15.6;1.8;16;53
595;Pupunha, cozida;54.5;219;914;2.5;12.8;0.0;29.6;4.3;0.7;28;25
596;Noz, crua;6.2;620;2594;14.0;59.4;0.0;18.4;7.2;2.1;105;153
