id;Descricao;Umidade(%);Energia(kcal);Energia(kJ);Protei0(g);Lipideos(g);Colesterol(mg);Carboidratos(g);Fibra_Alimentar(g);Cinzas(g);Calcio(mg);Magnesio(mg);;;;
491;Achocolatado, pó;1.1;401;1678;4.2;2.2;0.0;91.2;3.9;1.4;44;77;;;;
492;Açúcar, cristal;0.1;387;1619;0.3;0.0;0.0;99.6;0.0;0.0;8;1;;;;
493;Açúcar, mascavo;3.3;369;1542;0.8;0.1;0.0;94.5;0.0;1.4;127;80;;;;
494;Açúcar, refinado;0.1;387;1617;0.3;0.0;0.0;99.5;0.0;0.0;4;1;;;;
495;Chocolate, ao leite;1.3;540;2258;7.2;30.3;17;59.6;2.2;1.7;191;57;;;;
496;Chocolate, ao leite, com castanha do Pará;1.2;559;2338;7.4;34.2;16;55.4;2.5;1.8;171;80;;;;
497;Chocolate, ao leite, dietético;1.7;557;2330;6.9;33.8;13;56.3;2.8;1.3;188;67;;;;
498;Chocolate, meio amargo;1.0;475;1987;4.9;29.9;2;62.4;4.9;1.8;45;107;;;;
499;Cocada branca;3.4;449;1878;1.1;13.6;0.0;81.4;3.6;0.5;7;17;;;;
500;Doce, de abóbora, cremoso;43.9;199;832;0.9;0.2;0.0;54.6;2.3;0.4;13;6;;;;
501;Doce, de leite, cremoso;27.5;306;1282;5.5;6.0;20;59.5;0.0;1.5;195;16;;;;
502;Geléia, mocotó, natural;73.5;106;444;2.1;0.1;0.0;24.2;0.0;0.1;4;1;;;;
503;Glicose de milho;20.4;292;1222;0.0;0.0;0.0;79.4;0.0;0.2;6;2;;;;
504;Maria mole;21.6;301;1260;3.8;0.2;0.0;73.6;0.7;0.9;13;7;;;;
505;Maria mole, coco queimado;20.7;307;1283;3.9;0.1;0.0;75.1;0.6;0.2;19;6;;;;
506;Marmelada;28.5;257;1076;0.4;0.1;0.0;70.8;4.1;0.2;11;6;;;;
507;Mel, de abelha;15.8;309;1294;0.0;0.0;0.0;84.0;0.0;0.1;10;6;;;;
508;Melado;22.1;297;1241;0.0;0.0;0.0;76.6;0.0;1.3;102;115;;;;
509;Quindim;23.9;411;1721;4.7;24.4;271;46.3;3.2;0.6;37;15;;;;
510;Rapadura;7.1;352;1473;1.0;0.1;0.0;90.8;0.0;1.1;30;47;;;;
