id;Descricao;Umidade(%);Energia(kcal);Energia(kJ);Proteina(g);Lipideos(g);Colesterol(mg);Carboidratos(g);Fibra_Alimentar(g);Cinzas(g);Calcio(mg);Magnesio(mg)
64;Abóbora, cabotian, cozida;86.4;48;201;1.4;0.7;0;10.8;2.5;0.7;8;9
65;Abóbora, cabotian, crua;88.5;39;161;1.7;0.5;0;8.4;2.2;0.8;18;9
66;Abóbora, menina brasileira, crua;95.7;14;57;0.6;0.0;0;3.3;1.2;0.4;9;4
67;Abóbora, moranga, crua;95.9;12;52;1.0;0.1;0;2.7;1.7;0.4;3;2
68;Abóbora, moranga, refogada;92.5;29;121;0.4;0.8;0;6.0;1.5;0.4;19;7
69;Abóbora, pescoço, crua;92.5;24;102;0.7;0.1;0;6.1;2.3;0.6;9;7
70;Abobrinha, italiana, cozida;95.3;15;63;1.1;0.2;0;3.0;1.6;0.4;17;17
71;Abobrinha, italiana, crua;93.9;19;81;1.1;0.1;0;4.3;1.4;0.6;15;20
72;Abobrinha, italiana, refogada;93.5;24;102;1.1;0.8;0;4.2;1.4;0.4;21;13
73;Abobrinha, paulista, crua;90.9;31;129;0.6;0.1;0;7.9;2.6;0.5;19;9
74;Acelga, crua;93.2;21;88;1.4;0.1;0;4.6;1.1;0.6;43;10
75;Agrião, cru;93.9;17;69;2.7;0.2;0;2.3;2.1;0.9;133;18
76;Aipo, cru;93.8;19;80;0.8;0.1;0;4.3;1.0;1.1;65;9
77;Alface, americana, crua;97.2;9;37;0.6;0.1;0;1.7;1.0;0.3;14;6
78;Alface, crespa, crua;96.1;11;45;1.3;0.2;0;1.7;1.8;0.7;38;11
79;Alface, lisa, crua;95.0;14;58;1.7;0.1;0;2.4;2.3;0.8;28;9
80;Alface, roxa, crua;95.7;13;53;0.9;0.2;0;2.5;2.0;0.7;34;9
81;Alfavaca, crua;90.2;29;122;2.7;0.5;0;5.2;4.1;1.4;258;84
82;Alho, cru;67.5;113;473;7.0;0.2;0;23.9;4.3;1.3;14;21
83;Alho-poró, cru;91.0;32;132;1.4;0.1;0;6.9;2.5;0.6;34;11
84;Almeirão, cru;93.7;18;75;1.8;0.2;0;3.3;2.6;1.0;19;21
85;Almeirão, refogado;86.5;65;272;1.7;4.8;0;5.7;3.4;1.2;63;17
86;Batata, baroa, cozida;79.3;80;335;0.9;0.2;0;18.9;1.8;0.8;12;8
87;Batata, baroa, crua;73.7;101;423;1.0;0.2;0;24.0;2.1;1.1;17;12
88;Batata, doce, cozida;80.4;77;321;0.6;0.1;0;18.4;2.2;0.4;17;11
89;Batata, doce, crua;69.5;118;495;1.3;0.1;0;28.2;2.6;0.9;21;17
90;Batata, frita, tipo chips, indusnaializada;2.7;543;2271;5.6;36.6;0;51.2;2.5;3.9;12;24
91;Batata, inglesa, cozida;86.4;52;216;1.2;0.0;0;11.9;1.3;0.5;4;5
92;Batata, inglesa, crua;82.9;64;269;1.8;0.0;0;14.7;1.2;0.6;4;15
93;Batata, inglesa, frita;44.1;267;1118;5.0;13.1;0;35.6;8.1;2.2;6;14
94;Batata, inglesa, sauté;83.1;68;284;1.3;0.9;0;14.1;1.4;0.6;4;6
95;Berinjela, cozida;94.4;19;79;0.7;0.1;0;4.5;2.5;0.3;11;9
96;Berinjela, crua;93.8;20;82;1.2;0.1;0;4.4;2.9;0.4;9;13
97;Beterraba, cozida;90.6;32;135;1.3;0.1;0;7.2;1.9;0.8;15;17
98;Beterraba, crua;86.0;49;204;1.9;0.1;0;11.1;3.4;0.9;18;24
99;Biscoito, polvilho doce;5.4;438;1831;1.3;12.2;9;80.5;1.2;0.5;30;6
100;Brócolis, cozido;92.6;25;103;2.1;0.5;0;4.4;3.4;0.4;51;15
101;Brócolis, cru;91.2;25;107;3.6;0.3;0;4.0;2.9;0.8;86;30
102;Cará, cozido;78.9;78;325;1.5;0.1;0;18.9;2.6;0.6;5;15
103;Cará, cru;73.7;96;400;2.3;0.1;0;23.0;7.3;0.9;4;11
104;Caruru, cru;87.6;34;142;3.2;0.6;0;6.0;4.5;2.6;455;197
105;Catalonha, crua;91.8;24;100;1.9;0.3;0;4.8;2.0;1.3;57;17
106;Catalonha, refogada;87.4;63;265;2.0;4.8;0;4.8;3.7;1.0;63;16
107;Cebola, crua;88.9;39;165;1.7;0.1;0;8.9;2.2;0.4;14;12
108;Cebolinha, crua;93.9;20;82;1.9;0.4;0;3.4;3.6;0.5;80;25
109;Cenoura, cozida;91.7;30;125;0.8;0.2;0;6.7;2.6;0.6;26;14
110;Cenoura, crua;90.1;34;143;1.3;0.2;0;7.7;3.2;0.9;23;11
111;Chicória, crua;95.1;14;58;1.1;0.1;0;2.9;2.2;0.8;45;14
112;Chuchu, cozido;94.6;19;78;0.4;0.0;0;4.8;1.0;0.2;8;7
113;Chuchu, cru;94.8;17;71;0.7;0.1;0;4.1;1.3;0.3;12;7
114;Coennao, folhas desidratadas;10.6;309;1293;20.9;10.4;0;48.0;37.3;10.2;784;393
115;Couve, manteiga, crua;90.9;27;113;2.9;0.5;0;4.3;3.1;1.3;131;35
116;Couve, manteiga, refogada ;81.5;90;378;1.7;6.6;0;8.7;5.7;1.5;177;26
117;Couve-flor, crua;92.8;23;94;1.9;0.2;0;4.5;2.4;0.6;18;12
118;Couve-flor, cozida;94.3;19;80;1.2;0.3;0;3.9;2.1;0.3;16;5
119;Espinafre, Nova Zelândia, cru;94.0;16;67;2.0;0.2;0;2.6;2.1;1.2;98;82
120;Espinafre, Nova Zelândia, refogado;86.6;67;281;2.7;5.4;0;4.2;2.5;1.0;112;123
121;Farinha, de mandioca, crua;9.4;361;1510;1.6;0.3;0;87.9;6.4;0.9;65;37
122;Farinha, de mandioca, torrada;8.3;365;1528;1.2;0.3;0;89.2;6.5;1.0;76;40
123;Farinha, de puba;9.8;360;1507;1.6;0.5;0;87.3;4.2;0.8;41;27
124;Fécula, de mandioca;17.8;331;1384;0.5;0.3;0;81.1;0.6;0.3;12;3
125;Feijão, broto, cru;87.5;39;162;4.2;0.1;0;7.8;2.0;0.5;14;25
126;Inhame, cru;73.3;97;405;2.1;0.2;0;23.2;1.7;1.2;12;29
127;Jiló, cru;91.6;27;114;1.4;0.2;0;6.2;4.8;0.6;20;21
128;Jurubeba, crua;66.6;126;526;4.4;3.9;0;23.1;23.9;2.0;151;65
129;Mandioca, cozida;68.7;125;524;0.6;0.3;0;30.1;1.6;0.4;19;27
130;Mandioca, crua;61.8;151;634;1.1;0.3;0;36.2;1.9;0.6;15;44
131;Mandioca, farofa, temperada;6.4;406;1697;2.1;9.1;0;80.3;7.8;2.1;66;34
132;Mandioca, frita;36.6;300;1255;1.4;11.2;0;50.3;1.9;0.6;23;95
133;Manjericão, cru;93.0;21;88;2.0;0.4;0;3.6;3.3;1.0;211;58
134;Maxixe, cru;95.1;14;58;1.4;0.1;0;2.7;2.2;0.7;21;10
135;Mostarda, folha, crua;93.4;18;76;2.1;0.2;0;3.2;1.9;1.1;68;16
136;Nhoque, batata, cozido;55.0;181;756;5.9;1.9;15;36.8;1.8;0.5;11;18
137;nabo, cru;93.8;18;76;1.2;0.1;0;4.1;2.6;0.8;42;15
138;Palmito, juçara, em conserva;91.4;23;97;1.8;0.4;0;4.3;3.2;2.1;58;34
139;Palmito, pupunha, em conserva;89.4;29;123;2.5;0.5;0;5.5;2.6;2.1;32;25
140;Pão, de queijo, assado;33.7;363;1519;5.1;24.6;68;34.2;0.6;2.3;102;8
141;Pão, de queijo, cru;41.8;295;1232;3.6;14.0;63;38.5;1.0;2.0;88;7
142;Pepino, cru;96.8;10;40;0.9;0.0;0;2.0;1.1;0.3;10;9
143;Pimentão, amarelo, cru;91.9;28;117;1.2;0.4;0;6.0;1.9;0.5;10;11
144;Pimentão, verde, cru;93.5;21;89;1.1;0.2;0;4.9;2.6;0.4;9;8
145;Pimentão, vermelho, cru;92.9;23;97;1.0;0.1;0;5.5;1.6;0.4;6;11
146;Polvilho, doce;12.6;351;1470;0.4;0.0;0;86.8;0.2;0.2;27;4
147;Quiabo, cru;90.6;30;125;1.9;0.3;0;6.4;4.6;0.8;112;50
148;Rabanete, cru;95.1;14;57;1.4;0.1;0;2.7;2.2;0.7;21;10
149;Repolho, branco, cru;94.7;17;72;0.9;0.1;0;3.9;1.9;0.4;35;9
150;Repolho, roxo, cru;90.1;31;129;1.9;0.1;0;7.2;2.0;0.7;44;18
151;Repolho, roxo, refogado;88.7;42;175;1.8;1.2;0;7.6;1.8;0.7;43;17
152;Rúcula, crua;94.8;13;55;1.8;0.1;0;2.2;1.7;1.1;117;18
153;Salsa, crua;88.7;33;140;3.3;0.6;0;5.7;1.9;1.8;179;21
154;Seleta de legumes, enlatada;82.1;57;237;3.4;0.4;0;12.7;3.1;1.4;16;16
155;Serralha, crua;90.2;30;127;2.7;0.7;0;4.9;3.5;1.4;126;30
156;Taioba, crua;89.2;34;143;2.9;0.9;0;5.4;4.5;1.5;141;38
157;Tomate, com semente, cru;95.1;15;64;1.1;0.2;0;3.1;1.2;0.5;7;11
158;Tomate, exnaato;79.7;61;255;2.4;0.2;0;15.0;2.8;2.8;29;29
159;Tomate, molho indusnaializado;88.1;38;161;1.4;0.9;0;7.7;3.1;1.9;12;17
160;Tomate, purê;90.8;28;117;1.4;0.0;0;6.9;1.0;1.0;13;15
161;Tomate, salada;93.6;21;86;0.8;0.0;0;5.1;2.3;0.4;7;10
162;Vagem, crua;92.2;25;104;1.8;0.2;0;5.3;2.4;0.5;41;18
