id;Manganes(mg);Fosforo(mg);Ferro(mg);Sodio(mg);Potassio(mg);Cobre(mg);Zinco(mg);Retinol(mcg);RE(mcg);RAE (mcg);Tiamina(mg);Riboflavina(mg);Piridoxina(mg);Niacina(mg);Vitamina_C(mg)
525;0.59;142;1.9;305;354;0.23;1.2;0.0;;;0.06;0.0;0.0;0.0; 
526;0.18;48;1.0;1622;87;0.08;2.7;0.0;;;0.03;0.0;0.07;1.60; 
527;0.27;72;0.6;93;157;0.08;0.6;0.0;;;0.04;0.0;0.04;0.0;0.0
528;0.05;169;2.4;48;295;0.17;4.8;0.0;;;0.03;0.04;0.0;2.09;0.0
529;0.02;216;2.1;83;272;0.06;3.2;37;;;0.05;0.10;0.0;2.92;
530;0.42;87;2.1;59;96;0.13;0.9;0.0;;;0.08;0.05;0.0;0.0;0.0
531;0.11;244;1.4;85;139;0.07;0.5;0.0;;;0.0;0.0;0.0;0.31;4.1
532;0.22;68;0.9;12;184;1.45;1.8;0.0;;;0.03;0.0;0.0;0.32;4.8
533;0.02;23;0.2;248;11;0.0;0.2;0.0;;;0.0;0.0;0.06;0.0;0.0
534;0.06;26;0.3;236;53;0.05;0.2;0.0;;;0.0;0.0;0.0;0.93;0.0
535;0.23;111;0.9;1344;124;0.17;0.6;0.0;33;16;0.04;0.0;0.03;1.10;10.3
536;0.11;57;1.0;29;58;0.06;2.7;0.0;;;0.0;0.0;0.0;4.27; 
537;0.03;186;2.7;123;322;0.14;2.0;28;;;0.06;0.05;0.0;3.25;0.0
538;0.03;195;1.5;99;307;0.12;0.6;28;;;0.07;0.04;0.03;3.37;0.0
539;0.38;199;2.2;365;349;0.22;1.4;9;;;0.0;0.0;0.0;1.44;0.0
540;0.24;105;1.3;278;303;0.15;0.8;0.0; ; ;0.08;0.03;0.0;0.93;0.0
541;0.09;167;0.8;29;256;0.02;0.5;8;;;0.03;0.0;0.0;1.64;5.3
542;0.22;54;1.4;9;84;0.09;0.8;0.0;;;0.04;0.0;0.0;1.44;0.0
543;0.60;55;3.2;407;148;0.16;2.0;0.0;222;111;0.04;0.07;0.05;2.58;0.0
544;0.05;43;0.8;247;153;0.61;1.6;0.0;105;52;0.0;0.03;0.04;;0.0
545;0.10;22;0.2;228;141;0.04;0.2;0.0;283;141;0.04;0.0;0.04;0.0;0.0
546;0.24;45;0.4;3;244;0.17;0.3;0.0;510;255;0.05;0.03;0.03;0.0;29.4
547;0.03;103;0.3;248;149;0.08;0.4;0.0;15;7;0.05;0.0;0.0;1.48;9.3
548;0.10;164;7.2;216;199;1.48;1.8;1464;;;0.0;0.11;0.0;3.84;0.0
549;0.37;35;0.6;1;188;0.12;0.6;0.0;;;0.03;0.0;0.0;0.60;16.2
550;0.12;89;0.9;1349;240;0.22;0.8;0.0;35;18;0.05;0.0;0.0;;0.0
551;0.06;8;0.2;158;19;0.01;0.0;75;;;0.0;0.0;0.0;0.0;0.0
552;0.52;31;1.1;5;391;0.12;0.9;0.0;51;25;0.0;0.0;0.05;0.0;46.4
553;0.04;72;0.7;26;220;0.12;1.2;0.0;;;0.0;0.0;0.0;0.77;0.0
554;0.48;108;1.4;880;209;0.28;0.9;0.0;;;0.0;0.0;0.0;1.80;0.0
555;0.15;135;1.1;346;237;0.07;1.0;10;;;0.14;0.05;0.0;2.60;0.0
556;0.15;83;0.6;794;159;0.06;0.7;0.0;62;31;0.16;0.0;0.0;2.09;0.0
