id;Manganes(mg);Fosforo(mg);Ferro(mg);Sodio(mg);Potassio(mg);Cobre(mg);Zinco(mg);Retinol(mcg);RE(mcg);RAE (mcg);Tiamina(mg);Riboflavina(mg);Piridoxina(mg);Niacina(mg);Vitamina_C(mg)
270;0.0;9;0.7;44;13;0.0;0.0;0.0;;;;;;;
271;0.04;9;0.0;1;156;0.01;0.0;0.0;;;;;;;
272;0.0;0.0;0.0;3;0.0;0.06;0.0;0.0;;;0.0;0.0;0.0;0.0;
273;0.21;5;0.8;0.0;18;0.01;0.1;0.0;;;0.0;0.0;0.03;0.0;2.8
274;0.01;19;0.0;4;29;0.0;0.0;0.0;;;0.0;0.0;0.14;2.92;0.0
275;0.01;1;0.0;1;10;0.01;0.0;0.0;;;1.23;0.23; ; ; 
276;0.27;0.0;0.0;0.0;5;0.0;0.0;0.0;;;0.89;0.0; ; ; 
277;0.09;2;0.0;0.0;13;0.0;0.0;0.0;;;3.11;0.48; ; ; 
278;0.25;4;0.0;2;162;0.0;0.0;0.0;;;0.01;0.0;0.0;0.0;2.4
279;0.0;0;0.0;8;2;0.0;0.0;0.0;;;;;;;
280;0.0;17;0.0;7;1;0.0;0.0;0.0;;;;;;;
281;0.0;0.0;0.0;9;1;0.0;0.0;0.0;;;;;;;
282;0.0;1;0.0;9;16;0.0;0.0;0.0;;;;;;;
283;0.0;0.0;0.0;9;4;0.0;0.0;0.0;;;;;;;
