id;Manganes(mg);Fosforo(mg);Ferro(mg);Sodio(mg);Potassio(mg);Cobre(mg);Zinco(mg);Retinol(mcg);RE(mcg);RAE (mcg);Tiami0(mg);Riboflavi0(mg);Piridoxi0(mg);Niaci0(mg);Vitami0_C(mg)
323;0.04;225;0.9;943;270;0.03;1.6;0.0;;;0.62;0.04;0.0;0.70;0.0
324;0.02;123;0.0;22180;218;0.0;0.0;0.0; ;;0.70;0.07;0.27;0.0;
325;0.13;48;0.7;22300;68;0.0;0.3;0.0; ; ;0.05;0.04;0.0;0.00;
326;0.01;164;2.7;52;256;0.06;8.1;0.0;0.0;0.0;0.0;0.32;0.0;1.76;
327;0.0;158;1.8;49;237;0.08;6.3;2;2;2;0.15;0.21;0.03;4.33;
328;0.0;164;2.4;56;254;0.07;8.0;0.0;0.0;0.0;0.0;0.04;0.07;1.63;
329;0.0;144;1.5;50;234;0.04;5.2;2;2;2;0.12;0.12;0.0;2.33;
330;0.17;145;1.6;621;328;0.15;2.3;0.0; ; ;0.11;0.04;0.0;2.20; 
331;0.41;244;1.9;1030;536;0.19;2.6;0.0; ; ;0.13;0.07;0.0;6.60;
332;0.01;63;0.6;38;70;0.05;2.5;0.0;0.0;0.0;0.0;0.0;0.0;2.18;
333;0.01;61;0.5;45;85;0.06;2.1;0.0;0.0;0.0;0.0;0.0;0.0;2.13;
334;0.01;144;1.5;58;267;0.06;3.5;4;4;4;0.09;0.09;0.12;1.55;
335;0.0;214;2.6;81;323;0.13;6.2;0.0;0.0;0.0;0.0;0.06;0.0;1.74;
336;0.0;178;2.0;79;325;0.06;4.6;0.0;0.0;0.0;0.0;0.04;0.0;1.81;
337;0.01;287;2.8;83;385;0.12;7.6;0.0;0.0;0.0;0.03;0.08;0.0;1.86;
338;0.02;101;3.5;1443;90;0.07;6.1;0.0;0.0;0.0;0.05;0.07;0.0;1.50;
339;0.0;122;1.5;5875;236;0.03;3.9;0.0;0.0;0.0;0.12;0.07;0.0;1.63;
340;0.27;203;2.9;77;271;0.10;2.9;15;;;0.07;0.04;0.0;3.02;
