id;Manganes(mg);Fosforo(mg);Ferro(mg);Sodio(mg);Potassio(mg);Cobre(mg);Zinco(mg);Retinol(mcg);RE(mcg);RAE (mcg);Tiamina(mg);Riboflavina(mg);Piridoxina(mg);Niacina(mg);Vitamina_C(mg)
259;;;;;;;;0.0;;;;;;;
260;;;;;;;;0.0;;;;;;;
261;0.0;28;0.2;579;15;0.0;0.0;924;;;0.0;0.0;0.0;0.0;0.0
262;0.0;7;0.0;4;5;0.04;0.0;1013;;;0.0;0.0;0.0;0.0;0.0
263;0.0;7;0.1;894;21;0.0;0.0;462;;;0.0;0.0;0.0;0.0;0.0
264;0.0;4;0.1;78;2;0.0;0.0;534;;;0.0;0.0;0.0;0.0;0.0
265;0.0;6;0.0;561;15;0.0;0.0;385;;;0.0;0.0;0.0;0.0;0.0
266;0.0;7;0.1;33;5;0.0;0.0;245;;;0.0;0.0;0.0;0.0;0.0
267;;;;;;;;0.0;;;;;;;
268;;;;;;;;0.0;;;;;;;
269;;;;;;;;0.0;;;;;;;
270;;;;;;;;0.0;;;;;;;
271;;;;;;;;0.0;;;;;;;
272;;;;;;;;0.0;;;;;;;
