id;Manganes(mg);Fosforo(mg);Ferro(mg);Sodio(mg);Potassio(mg);Cobre(mg);Zinco(mg);Retinol(mcg);RE(mcg);RAE (mcg);Tiamina(mg);Riboflavina(mg);Piridoxina(mg);Niacina(mg);Vitamina_C(mg)
556;1.96;407;2.5;0.0;580;0.78;3.2;0.0;;;0.10;0.03;0.76;10.18;0.0
557;1.70;261;1.3;376;496;0.68;2.1;0.0;;;0.08;0.0;0.21;7.47;0.0
558;0.40;152;1.4;0.0;311;0.20;1.2;0.0;;;0.27;0.07;0.06;1.16;12.4
559;0.46;79;1.4;372;147;0.14;0.9;0.0;9;5;0.07;0.03;0.0;0.0; 
560;0.28;87;1.3;2;255;0.19;0.7;0.0;;;0.04;0.0;0.0;0.0;0.0
561;1.02;385;8.0;0.0;1352;0.79;2.9;0.0;;;0.17;0.0;0.65;4.02; 
562;0.53;85;1.1;1;253;0.10;1.1;0.0;;;0.12;0.0;0.0;0.0;0.0
563;1.43;355;5.1;10;1083;0.70;3.9;0.0;;;0.14;0.03;0.26;0.0;0.0
564;0.32;121;1.9;1;348;0.24;1.0;0.0;;;0.13;0.0;0.04;0.0;0.0
565;0.99;427;7.0;25;1276;0.95;3.0;0.0;;;0.10;0.0;0.12;0.0;0.0
566;0.37;88;1.5;2;256;0.20;0.7;0.0;;;0.06;0.0;0.03;0.0;0.0
567;1.32;471;6.5;0.0;1416;0.83;2.9;0.0;;;0.12;0.0;0.59;4.60; 
568;0.29;113;1.4;1;315;0.23;0.9;0.0;;;0.09;0.0;0.04;0.0;0.0
569;1.17;335;18.6;14;1135;0.84;2.6;0.0;;;0.07;0.03;0.07;0.0;0.0
570;0.46;90;1.2;2;241;0.09;1.3;0.0;;;0.0;0.0;0.0;3.69;0.0
571;1.08;394;5.3;24;1109;0.60;4.0;0.0;;;0.16;0.03;0.0;3.92;0.0
572;0.32;106;1.4;1;268;0.22;1.0;0.0;;;0.15;0.0;0.03;0.0;0.0
573;1.34;394;6.9;10;1221;1.04;3.3;0.0;;;0.26;0.0;0.08;0.0;0.0
574;3.16;342;5.4;5;1116;0.67;3.2;0.0;;;0.52;0.0;0.75;0.0;0.0
575;1.02;269;1.9;2;1215;0.57;2.0;0.0;;;1.06;0.0;0.07;2.69;1.5
576;0.29;104;1.5;1;220;0.17;1.1;0.0;;;0.03;0.0;0.0;0.0;0.0
577;1.08;368;7.0;0.0;887;0.83;3.5;0.0; ; ;0.11;0.0;0.42;5.07; 
578;1.06;198;1.1;167;348;0.38;1.6;0.0;;;0.0;0.0;1.20;0.0;0.0
579;1.09;171;1.3;16;355;0.43;1.4;0.0;;;0.04;0.03;0.11;5.94;0.0
580;2.87;539;13.1;6;1922;1.29;4.5;0.0;;;0.20;0.04;0.03;0.0;0.0
581;0.15;53;0.4;57;121;0.08;0.3;0.0;;;0.0;0.0;0.0;0.0;0.0
582;2.68;647;7.0;83;1607;1.19;5.8;0.0;;;0.0;0.11;0.35;0.0;9.2
583;0.33;130;1.4;1;182;0.18;0.9;0.0;;;0.04;0.0;0.03;0.0;0.0
584;0.00;265;2.8;3;708;0.79;4.2;0.0;;;0.24;0.0;0.07;0.0;25.0
585;0.00;40;0.3;1809;5;0.27;0.6;0.0;;;0.0;0.0;0.0;0.0;0.0
