id;Manganes(mg);Fosforo(mg);Ferro(mg);Sodio(mg);Potassio(mg);Cobre(mg);Zinco(mg);Retinol(mcg);RE(mcg);RAE (mcg);Tiami0(mg);Riboflavi0(mg);Piridoxi0(mg);Niaci0(mg);Vitami0_C(mg)
446;0.0;63;0.0;46;62;0.02;0.2;0.0;;;0.03;0.14;0.0;0.33;2.1
447;0.01;118;0.3;52;119;0.02;0.3;128;;;0.0;0.10;0.0;0.00;0.0
448;0.0;119;0.0;52;71;0.02;0.4;23;;;0.04;0.22;0.0;0.0;0.9
449;0.0;110;0.0;60;182;0.0;0.5;0;;;0.0;0.22;0.0;0.0;0.3
450;0.00;0;0.0;0;0;0.00;0.0;0;;;0.00;0.00;0.00;0.00;
451;0.0;73;0.0;38;52;0.02;0.3;27;;;0.03;0.12;0.02;0.0;0.0
452;0.0;66;0.1;37;52;0.02;0.3;21;;;0.02;0.10;0.0;0.38;0.0
453;0.0;187;0.1;94;329;0.03;0.9;53;;;0.06;0.33;0.57;0.0;2.1
454;0.0;113;0.1;74;140;0.04;0.4;35;;;0.0;0.14;0.0;0.0;0.0
455;0.05;71;0.5;72;155;0.04;0.3;39;;;0.07;0.29;0.14;1.23;3.3
456;0.0;1673;0.9;432;1556;0.16;3.8;299;;;0.32;1.20;0.0;0.81;
457;0.0;85;0.0;51;140;0.02;0.4;0.0;;;0.04;0.26;0.0;1.49;0.0
458;0.0;82;0.0;64;133;0.02;0.4;21;;;0.04;0.24;0.0;1.52;0.0
459;0.0;1242;0.5;323;1132;0.11;2.7;361;;;0.24;1.03;0.0;0.0;0.0
460;0.02;63;0.0;33;94;0.01;0.3;0.0;;;0.08;0.11;0.0;0.0;0.5
461;0.02;123;0.9;31;105;0.0;0.3;161;;;0.0;0.25;0.0;0.0;0.0
462;0.02;403;0.2;501;120;0.07;2.7;111;;;0.03;0.32;0.0;0.0;
463;0.03;470;0.3;581;62;0.08;3.5;109;;;0.0;0.20;0.0;0.0;
464;0.05;745;0.5;1844;96;0.17;4.4;66;;;0.0;0.44;0.23;0.0;0.0
465;0.01;578;0.3;780;194;0.05;1.3;57;;;0.0;0.20;0.0;0.0;0.0
466;0.02;448;0.1;412;121;0.01;2.7;273;;;0.22;0.27;0.21;2.68;0.0
467;0.03;461;0.3;580;73;0.10;3.5;123;;;0.0;0.22;0.0;0.0;
468;0.02;448;0.1;558;93;0.05;1.3;195;;;0.0;0.19;0.0;0.0;0.0
469;0.0;162;0.1;283;112;0.0;0.5;53;;;0.0;0.15;0.0;0.0;0.0
