id;Manganes(mg);Fosforo(mg);Ferro(mg);Sodio(mg);Potassio(mg);Cobre(mg);Zinco(mg);Retinol(mcg);RE(mcg);RAE (mcg);Tiami0(mg);Riboflavi0(mg);Piridoxi0(mg);Niaci0(mg);Vitami0_C(mg)
273;0.0;338;0.5;334;156;0.03;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.44;
274;0.0;351;0.3;189;146;0.03;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
275;0.01;91;0.1;79;148;0.14;0.4;0.0;0.0;0.0;0.04;0.0;0.0;4.60;
276;0.0;581;0.3;305;279;0.0;0.4;6;6;6;0.03;0.0;0.0;0.44;
277;0.0;211;1.2;362;280;0.04;0.6;0.0;0.0;0.0;0.15;0.03;0.0;3.17;
278;0.0;254;1.3;30;308;0.09;0.4;20;20;20;0.0;0.04;0.0;5.94;
279;0.03;186;0.9;13585;434;0.09;0.7;0.0;0.0;0.0;0.0;0.21;0.0;0.00;
280;0.0;51;0.2;1256;50;0.04;0.6;0.0;0.0;0.0;0.03;0.05;0.0;5.17;0.0
281;0.06;462;1.0;160;420;0.0;0.6;17;17;17;0.0;0.0;0.0;0.77;
282;0.0;204;0.3;115;249;0.03;0.6;12;12;12;0.0;0.04;0.0;9.77;
283;0.04;181;0.2;176;299;0.13;0.3;6;6;6;0.04;0.0;0.0;1.31;
284;0.06;266;1.3;367;102;0.17;1.2;0.0;0.0;0.0;0.0;0.0;0.0;1.07;
285;0.04;234;0.7;201;72;0.11;0.7;20;20;20;0.0;0.0;0.0;0.0;
286;0.38;337;2.4;99;107;0.19;1.1;0.0;0.0;0.0;0.05;0.0;0.0;0.35;
287;0.07;154;2.9;360;186;0.72;5.7;0.0;0.0;0.0;0.04;0.31;0.0;4.17;0.0
288;0.02;190;0.5;47;317;0.03;0.4;0.0;0.0;0.0;0.0;0.0;0.0;1.87;
289;0.01;221;1.0;40;326;0.03;0.7;0.0;0.0;0.0;0.13;0.06;0.0;2.70;
290;0.02;185;0.6;37;254;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.09;
291;0.02;154;0.3;45;293;0.02;0.4;8;8;8;0.0;0.08;0.0;0.00;
292;0.01;183;0.4;68;339;0.03;0.4;65;65;65;0.12;0.05;0.0;2.62;
293;0.03;176;0.5;85;291;0.02;0.7;0.0;0.0;0.0;0.11;0.10;0.0;4.23;
294;0.02;164;0.6;68;194;0.03;0.7;6;6;6;0.0;0.03;0.0;0.77;
295;0.01;189;0.2;40;393;0.02;0.5;0.0;0.0;0.0;0.0;0.0;0.0;3.70;
296;0.28;696;0.9;48;244;0.09;3.3;4;4;4;0.05;0.0;0.0;3.30;
297;0.34;1067;0.8;65;331;0.31;5.6;9;9;9;0.25;0.03;0.04;8.93;
298;0.41;441;0.6;41;207;0.05;2.4;0.0;0.0;0.0;0.0;0.03;0.07;1.86;
299;0.36;578;3.0;37;319;0.15;3.8;30;30;30;0.05;0.07;0.0;0.79;
300;0.21;735;0.9;41;318;0.14;3.2;12;12;12;0.03;0.03;0.0;7.27;
301;0.03;273;0.4;120;364;0.03;0.9;0.0;0.0;0.0;0.05;0.0;0.0;7.97;
302;0.01;185;0.2;80;340;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;1.34;
303;0.02;279;0.4;90;447;0.03;0.6;0.0;0.0;0.0;0.05;0.0;0.0;0.77;
304;0.01;136;0.2;76;261;0.0;0.3;3;3;3;0.0;0.04;0.0;0.60;
305;0.06;504;0.5;107;355;0.08;1.1;39;39;39;0.08;0.11;0.0;8.07;
306;0.07;216;0.9;91;216;0.03;0.4;18;18;18;0.0;0.03;0.0;0.60;
307;0.01;141;0.2;77;253;0.0;0.3;48;48;48;0.0;0.05;0.0;3.10;
308;0.0;204;0.3;115;249;0.03;0.6;4;4;4;0.14;0.0;0.0;8.87;
309;0.08;105;1.5;51;208;0.36;0.3;19;;;0.0;0.03;0.0;1.10;6.9
310;0.07;327;0.5;120;304;0.10;0.6;0.0;0.0;0.0;0.08;0.0;0.0;6.60;
311;0.08;332;0.8;81;527;0.04;2.1;7;7;7;0.03;0.0;0.0;6.63;
312;0.01;174;0.2;43;294;0.03;0.4;0.0;0.0;0.0;0.0;0.0;0.0;4.95;
313;0.03;237;0.5;53;360;0.04;0.8;5;5;5;0.03;0.0;0.0;2.87;
314;0.05;207;0.4;67;313;0.04;0.7;5;5;5;0.0;0.0;0.0;1.19;
315;0.02;300;0.5;85;384;0.04;0.6;0.0;0.0;0.0;0.13;0.06;0.0;5.35;
316;0.0;259;0.2;64;376;0.02;0.3;0.0;0.0;0.0;0.20;0.03;0.0;3.21;
317;0.01;352;0.4;96;518;0.04;0.5;0.0;0.0;0.0;0.23;0.03;0.0;6.30;
318;0.24;578;1.3;74;574;0.14;1.8;0.0;0.0;0.0;0.06;0.0;0.0;5.83;
319;0.11;496;3.5;666;367;0.03;1.6;0.0;0.0;0.0;0.42;0.04;0.0;6.55;
320;0.25;629;1.1;60;460;0.14;1.6;0.0;0.0;0.0;0.06;0.0;0.0;7.10;
321;0.10;294;1.3;60;312;0.13;1.3;0.0;0.0;0.0;0.0;0.07;0.0;7.70;
322;0.01;168;0.3;57;288;0.10;0.4;0.0;0.0;0.0;0.0;0.05;0.0;0.90;
