id;Manganes(mg);Fosforo(mg);Ferro(mg);Sodio(mg);Potassio(mg);Cobre(mg);Zinco(mg);Retinol(mcg);RE(mcg);RAE (mcg);Tiami0(mg);Riboflavi0(mg);Piridoxi0(mg);Niaci0(mg);Vitami0_C(mg)
491;0.55;200;5.4;65;496;0.56;1.0;796;;;1.38;1.02;1.52;4.99;0.0
492; ;0.0;0.2;0.0;3;0.0;0.0;0.0;;;;;;;
493;2.03;38;8.3;25;522;0.17;0.5;0.0;;;0.0;0.03;0.0;0.0;0.0
494; ;0.0;0.1;12;6;0.0;0.0;0.0;;;;;;;
495;0.30;212;1.6;77;355;0.31;1.1;0.0; ; ;0.05;0.22;0.59;0.63;0.0
496;0.36;303;1.5;64;431;0.45;1.3;36;;;0.04;0.24;0.0;1.37;1.4
497;0.41;276;3.3;85;458;0.43;1.1;7;;;0.31;0.25;0.0;0.79;2.0
498;0.83;220;3.6;9;432;0.77;1.5;0.0;;;0.20;0.04;0.0;1.06;2.1
499;0.36;396;1.2;29;183;0.20;0.4;0.0;;;0.0;0.0;0.16;0.47;0.0
500;0.01;14;0.9;0.0;137;0.0;0.0;0.0;;;0.08;0.0;0.04;0.0;0.1
501;0.01;141;0.1;120;259;0.02;0.5;36;36;36;0.05;0.26;0.0;0.0;0.0
502;0.0;0.0;0.1;43;2;0.0;0.0;0.0; ; ;0.19;0.0;0.22;0.0;0.0
503;0.0;5;0.1;59;5;0.0;0.0;0.0;;; ; ; ; ; 
504;0.06;4;0.4;15;24;0.20;0.1;0.0;;;0.04;0.0;0.0;0.0;0.0
505;0.09;5;0.5;14;36;0.03;0.1;0.0;;;0.04;0.0;0.0;0.0;0.0
506;0.06;20;0.7;11;83;0.09;0.1;0.0;;;0.0;0.0;0.0;0.0;0.0
507;0.38;4;0.3;6;99;0.0;0.2;0.0;;;0.11;0.0;0.0;0.0;0.7
508;2.62;74;5.4;4;395;0.84;0.3;0.0;;;0.0;0.05;0.20;0.0;0.0
509;0.25;168;1.4;27;111;0.10;1.1;76;;;0.0;0.04;0.04;1.14;0.0
510;1.66;21;4.4;22;459;0.17;0.6;0.0;;;0.0;0.0;0.04;0.0;0.0
